origin_hangle,changed_hangle,first_translate,second_translate,reason,label
"공명정대하신 대공 전하, 부디 그 마녀를 잡아 불태워 주십시오!","공명정대하신 대공 전하, 부디 그 마녀를 잡아 불태워 주십시오!","your grace, please capture that witch and burn her!","Your Grace, a noble and just ruler, I humbly implore you to capture that witch and burn her.","원문 ""공명정대하신 대공 전하""는 존칭 표현으로, 단순히 ""your grace""보다는 더 공손한 표현이 필요하다. 또한 ""부디""는 정중한 요청을 나타내므로 ""please""보다 더 정중한 표현이 적절하다. 따라서 전체적으로 더 공손하고 격식 있는 어조로 번역해야 한다.","your grace, please capture that witch and burn her to death!"
웅성,웅성,clamor,clamor,,clamor
조슈아 왕자님의 억울함을 반드시 풀어주셔야 합니다!,조슈아 왕자님의 억울함을 반드시 풀어주셔야 합니다!,you must clear prince joshua's name!,You must prove that Prince Joshua is innocent!,"원문의 '조슈아 왕자님의 억울함을 반드시 풀어주셔야 합니다!'는 'You must clear Prince Joshua's name!'과 의미는 유사하지만, 원문에는 '반드시'라는 강한 의무 표현이 포함되어 있고, '억울함을 풀다'는 표현은 단순히 명예 회복 이상의 감정적 억울함 해소의 의미도 내포한다. 또한 'you must clear his name'은 수동적 표현이므로, 능동적으로 'You must prove that Prince Joshua is innocent'와 같이 재구성하는 것이 더 정확하다.",prince joshua's suffering must be avenged!
"..그래서, 정확히 무슨 일이 있었나?","..그래서, 정확히 무슨 일이 있었나?","so, what exactly happened?","So, what exactly happened?",,"so, what exactly happened?"
팔락,팔락,flip,flip,,fwip
"한 사람도 빠짐없이 해고되었다고 하던데, 이유가 있을 테지?","한 사람도 빠짐없이 해고되었다고 하던데, 이유가 있을 테지?",i heard every single one of you was fired. there must have been a reason.,i heard every single one of you was fired. there must have been a reason.,"원문의 ""한 사람도 빠짐없이 해고되었다고 하던데""는 간접화법으로 들은 이야기를 전달하는 표현이며, ""이유가 있을 테지?""는 추측을 나타낸다. 1차 영어 번역문은 이를 ""i heard every single one of you was fired. there must have been a reason.""으로 번역했는데, 이는 원문의 의미와 정보량이 일치하며, 모두 능동태로 표현되어 있다. 따라서 수정 없이 그대로 사용 가능하다.",i heard every single one of you was fired. there must have been a reason.
"정말 저희도 모릅니다, 대공 전하!","정말 저희도 모릅니다, 대공 전하!","we really don't know, your grace!","We really don't know, Your Grace!",,"we really don't know eveything, your highness!"
"몇 년을 그곳에서 일했는데, 아무 말도 없이 갑자기 쫓겨났어요.","몇 년을 그곳에서 일했는데, 아무 말도 없이 갑자기 쫓겨났어요.","we worked there for years, but we were suddenly kicked out without any explanation.","We worked there for years, but they suddenly kicked us out without any explanation.",,"we worked there for many years, only to be cast out without warning or explanation."
해가 뜨는 대로 나가라고만…,해가 뜨는 대로 나가라고만…,we were just told to leave as soon as the sun rose...,we were just told to leave as soon as the sun rose...,,we were merely told to leave at the break of dawn...
흐음...,흐음.,hmm...,hmm...,,hmm...
믿음이 안 가는군.,믿음이 안 가는군.,i don't believe you.,I find this hard to believe.,"원문 ""믿음이 안 가는군.""은 일반적인 상황에 대한 불신을 표현하는 말로, 특정 인물에 대한 직접적인 불신이라기보다는 상황 전반에 대한 의심을 나타낸다. 반면 ""I don't believe you.""는 특정 인물의 말에 대한 직접적인 불신을 표현하므로 의미가 다르다. 따라서 다시 번역해야 한다.",i'm not convinced.
너무 갑작스럽지 않나?,너무 갑작스럽지 않나?,isn't it too sudden?,Isn't it too sudden?,"해당 문장은 의문문이며, 주어가 생략되어 있으므로 영어 번역에서는 주어를 명시해야 한다. ""Isn't it too sudden?""은 자연스러운 표현이지만, 주어 ""it""이 정확히 무엇을 지칭하는지 문맥상 모호할 수 있다. 그러나 앞 문장에서 ""믿음이 안 가는군.""이라는 말이 있었고, 그에 대한 반응으로 ""너무 갑작스럽지 않나?""라고 말한 것이므로, 상황의 전개나 사건이 갑작스럽다는 의미로 ""it""이 자연스럽게 사용될 수 있다. 따라서 정보의 양도 같고 의미도 일치하며, 능동태이므로 그대로 사용 가능하다.",isn't it too sudden?
혹시 역모를 꾸미다 들통나서 꼬리 자르기라도 하려는 게 아닌가?,혹시 역모를 꾸미다 들통나서 꼬리 자르기라도 하려는 게 아닌가?,could it be that you were caught plotting treason and are trying to cover it up?,Could it be that you were caught plotting treason and are now trying to cut ties with your accomplices to save yourself?,"[한글 대화]는 ""혹시 역모를 꾸미다 들통나서 꼬리 자르기라도 하려는 게 아닌가?""로, 이는 누군가가 역모를 꾸미다 발각되어 관련자들을 희생양 삼아 책임을 회피하려는 의도를 의심하는 말이다. 
하지만 [1차 영어 번역문] ""could it be that you were caught plotting treason and are trying to cover it up?""는 단순히 역모를 꾸미다 들통나서 은폐하려는 것으로 번역되어, '꼬리 자르기'라는 구체적인 행동(희생양을 만들어 책임을 회피하는 것)이 빠져 있다. 따라서 정보의 양이 다르므로 새로 번역해야 한다.",could it be that she was caught plotting treason and is trying to cover it up by dismissing the servants?
아닙니다! 정말 억울합니다!,아닙니다! 정말 억울합니다!,no! we are innocent!,"No, that's not true! We've been treated so unfairly!","[한글 대화]는 ""아닙니다! 정말 억울합니다!""로, 이는 강하게 부정하며 자신들이 억울하다는 주장을 표현하고 있다. [1차 영어 번역문] ""no! we are innocent!""는 의미는 유사하지만, ""정말 억울합니다""의 감정적인 호소가 ""we are innocent""로는 충분히 전달되지 않는다. 또한 ""정말 억울합니다""는 억울함을 호소하는 표현이지, 단순히 무죄를 주장하는 것과는 뉘앙스가 다르다. 따라서 감정적인 억울함을 강조하는 방향으로 다시 번역해야 한다.","no, your highness, we're innocent!"
저희가 어찌 그럴 수 있겠습니까! 그 집에서 벌어지는 일들은 저희와 아무 상관도 없었어요!,저희가 어찌 그럴 수 있겠습니까! 그 집에서 벌어지는 일들은 저희와 아무 상관도 없었어요!,we would never do such a thing! we had nothing to do with what was going on in that house!,We would never do such a thing! What happened in that house had nothing to do with us!,,how could we possibly do that?! we had nothing to do with what happened in that house!
"맞습니다, 대공 전하!","맞습니다, 대공 전하!","that's right, your grace!","That's correct, Your Grace!",,"that's right, your highness!"
"저희는 그저 급여 때문에 일했을 뿐, 공작가에 충성심을 바친 적은 없어요.","저희는 그저 급여 때문에 일했을 뿐, 공작가에 충성심을 바친 적은 없어요.",we only worked there for the pay. we never pledged loyalty to house winter.,We only worked there for the pay. We never pledged loyalty to the duke's family.,,we only worked there for the pay. we never pledged any loyalty to house winter.
누가 그녀를 마녀라 부르건 저희 상관이 아니라구요!,누가 그녀를 마녀라 부르건 저희 상관이 아니라구요!,we don't care if people call her a witch or not!,We have nothing to do with people calling her a witch.,"[1차 한글 번역문]은 ""우리는 사람들이 그녀를 마녀라고 부르든 말든 신경 쓰지 않는다""는 의미로, [한글 대화]의 ""누가 그녀를 마녀라 부르건 저희 상관이 아니라구요!""와 유사하지만, ""상관이 아니다""는 표현은 단순히 관심 없음이 아니라 '우리와 무관하다'는 의미에 더 가깝다. 즉, '우리는 그 일에 관여하지 않는다'는 뉘앙스가 포함되어 있어 의미가 완전히 일치하지 않는다. 따라서 능동태로 의미를 살려 다시 번역해야 한다. 주어는 ""저희""이므로 ""We""로 시작한다.",we don't care if people call her a witch or not!
"제발 믿어주십시오, 전하!","제발 믿어주십시오, 전하!","please believe us, your grace!","Please believe us, Your Grace!",,please believe us!
"만약 공작,","만약 공작,","if you wish to capture the duke,","If you intend to capture the duchess,","[한글 대화]는 ""만약 공작,""으로 시작되며, 이는 문장이 아직 끝나지 않은 상태로 다음 문장과 연결되어야 의미가 완성된다. 실제로 바로 다음 대사인 ""아니 그 마녀를 잡으시려 한다면,""과 함께 하나의 조건절을 이루고 있다. 따라서 ""만약 공작,""만으로는 의미가 완전하지 않으며, ""공작을 잡으시려 한다면""이라는 의미를 능동태로 완성해 번역해야 한다.",if you wish to capture the duchess-
"아니 그 마녀를 잡으시려 한다면,","아니 그 마녀를 잡으시려 한다면,","i mean, that witch,","If Your Grace intends to capture that witch,","[한글 대화]는 ""아니 그 마녀를 잡으시려 한다면,""으로, ""공작""이라는 단어를 정정하며 ""그 마녀를 잡으려 한다면""이라는 조건절을 말하고 있습니다. 반면 [1차 영어 번역문]은 ""i mean, that witch,""로, 문장이 불완전하고 의미 전달이 되지 않으며, 조건절의 의미가 완전히 누락되어 정보의 양이 다릅니다. 따라서 [1차 영어 번역문]은 무시하고, [한글 대화]를 능동태로 다시 번역해야 합니다. 주어는 대공 전하이므로 ""If Your Grace intends to capture that witch,""와 같이 공손한 표현을 사용해야 합니다.","i mean, the witch..."
저희는 기꺼이 협조할 겁니다.,저희는 기꺼이 협조할 겁니다.,we will gladly cooperate.,We will gladly cooperate.,,we would be more than happy to help.
아는 걸 모두 말씀드리겠습니다!,아는 걸 모두 말씀드리겠습니다!,we will tell you everything we know!,We will tell you everything we know!,,we will tell you eveything we know!
하하,하하,"haha,",Haha.,,haha
"그래, 듣자 하니 꽤 의욕이 넘치는군.","그래, 듣자 하니 꽤 의욕이 넘치는군.",i see you are quite eager.,I heard you're quite eager.,"원문 ""그래, 듣자 하니 꽤 의욕이 넘치는군.""은 '듣자 하니'라는 간접적인 정보 출처를 포함하고 있으며, 이는 'I heard' 또는 'I was told' 등으로 표현되어야 한다. 반면 1차 영어 번역문 ""I see you are quite eager.""는 화자가 직접 보고 판단한 것처럼 번역되어 정보의 출처가 다르므로 의미가 일치하지 않는다. 따라서 다시 번역해야 한다.","all right then, you two seem quite motivated."
혹시 도망치려는 낌새라도 본 적이 있나?,혹시 도망치려는 낌새라도 본 적이 있나?,did you see any signs of her trying to escape?,Did you see any signs of her trying to escape?,"원문의 주어는 '너'이고, '도망치려는 낌새라도 본 적이 있나?'는 의문문이다. 1차 영어 번역문은 수동태가 아니며, 의미도 일치하고 정보의 양도 동일하다. 주어도 포함되어 있어 조건을 모두 만족한다.",have you noticed any signs of her trying to run away?
"작은 단서라도 좋다, 전부 말해라.","작은 단서라도 좋다, 전부 말해라.",even the smallest clue will do. tell me everything.,Even the smallest clue will do. Tell me everything you know.,"[1차 한글 번역문]은 ""작은 단서라도 좋다""까지만 번역되었고, ""전부 말해라""는 ""tell me everything""으로 번역되었지만, 주어가 생략되어 있어 정보의 양이 다르며 문법적으로도 완전하지 않다. 따라서 주어를 포함해 능동태로 다시 번역해야 한다.","even the smallest detail will help, so tell me everything."
"맞다, 기차표요!","맞다, 기차표요!","that's right, the train tickets!","Oh, right—the train tickets!","해당 한글 대화는 ""맞다, 기차표요!""로, 특정 사안(기차표)을 떠올리고 그것이 중요한 단서임을 강조하는 발화이다. 1차 영어 번역문 ""that's right, the train tickets!""는 의미는 대체로 일치하지만, 원문에서 느껴지는 '기차표'라는 단어에 대한 갑작스러운 회상과 강조가 충분히 반영되지 않았다. 따라서 감탄과 회상의 뉘앙스를 살려 능동적으로 다시 번역할 필요가 있다.","that's right, the train tickets!"
"얼마 전, 집사에게 기차표를 예매해 달라 부탁하는 걸 얼핏 들은 적이 있어요.","얼마 전, 집사에게 기차표를 예매해 달라 부탁하는 걸 얼핏 들은 적이 있어요.",i heard her ask the butler to book some train tickets a while ago.,I happened to overhear her asking the butler to book a train ticket a while ago.,"[1차 한글 번역문]은 ""기차표를 예매해 달라 부탁하는 걸 얼핏 들은 적이 있어요""를 ""i heard her ask the butler to book some train tickets a while ago""로 번역했는데, 이는 의미는 대체로 일치하지만 ""얼핏 들은 적이 있다""는 부분의 뉘앙스가 ""i heard""로는 충분히 전달되지 않음. 또한 ""기차표""는 ""some train tickets""로 번역되었는데, 원문에서는 복수형인지 단수형인지 명확하지 않으므로 ""a train ticket"" 또는 ""train tickets""로 조정 가능. 따라서 원문의 뉘앙스를 더 정확히 살리기 위해 재번역이 필요함.","i remember overearing her asking the the bulter to book train tickets some time ago.

(the가 2번 들어감)"
꽤 오래전부터 도망칠 궁리를 하고 있었던 게 분명합니다!,꽤 오래전부터 도망칠 궁리를 하고 있었던 게 분명합니다!,she must have been planning to escape for quite some time!,She must have been plotting her escape for quite a while!,,she must have been planning her escape for quite a while!
끼익,끼익,creak,creak,,creak
"좋다, 너희들의 공훈은 잊지 않겠다.","좋다, 너희들의 공훈은 잊지 않겠다.",good. i will not forget your service.,Good. I will not forget your contributions.,,good. i will not forget your help.
이제 정말로 이 마녀의 날개를 꺾어줄 때가 왔군.,이제 정말로 이 마녀의 날개를 꺾어줄 때가 왔군.,it is finally time to clip that witch's wings.,It is finally time for us to clip that witch's wings.,,it's finally time to put an end to that witch's flight.
제임스 경! 계엄령을 선포해라.,제임스 경! 계엄령을 선포해라.,sir james! declare martial law.,Sir James! Declare martial law!,,sir james! declare the matial law.
예.,예.,"yes, your grace.",Yes.,"[한글 대화]는 단순히 ""예.""로, 정중한 긍정의 표현이다. 하지만 [1차 영어 번역문]은 ""yes, your grace.""로, ""your grace""라는 경칭이 추가되어 정보의 양이 더 많다. 따라서 정보의 양이 다르므로 새로 번역해야 한다.","yes, your highness."
이 나라를 어지럽힌 반역자를 반드시 잡아들이도록!,이 나라를 어지럽힌 반역자를 반드시 잡아들이도록!,we must capture the traitor who has disturbed this kingdom!,We must capture the traitor who has thrown this kingdom into chaos!,,we must capture the traitor who has thrown this kingdom into turmoil!
"마녀를 불태우고,","마녀를 불태우고,","we will burn the witch at the stake,","we will burn the witch at the stake,","[1차 영어 번역문] ""we will burn the witch at the stake""를 한글로 번역하면 ""우리는 그 마녀를 화형에 처할 것이다""로, 이는 능동태이며 [한글 대화] ""마녀를 불태우고,""와 의미가 일치하고 정보의 양도 같다. 따라서 그대로 사용해도 된다.",the witch shall burn...
척,척,point!,point!,"[한글 대화] '척'은 발소리나 움직임을 나타내는 의성어/의태어로, 효과음에 해당한다. 따라서 1차 영어 번역문을 그대로 사용해도 된다.",point
역모의 뿌리를 송두리째 뽑아내야 한다!,역모의 뿌리를 송두리째 뽑아내야 한다!,and uproot the seeds of treason!,We must rip out the roots of treason completely!,"[1차 영어 번역문]을 한글로 번역하면 ""역모의 씨앗을 뿌리째 뽑아야 한다!""로 해석되며, 이는 [한글 대화] ""역모의 뿌리를 송두리째 뽑아내야 한다!""와 유사하지만, ""씨앗""이라는 표현은 원문에 없는 정보이므로 정보의 양이 다릅니다. 따라서 [1차 영어 번역문]은 사용할 수 없으며, [한글 대화]를 기반으로 능동태로 다시 번역해야 합니다. 주어는 앞 문맥상 명령을 내리는 인물(대공)로 추정되므로, 이를 반영해 번역합니다.",...and the roots of treason will be torn out!
68,68,68,68,,nan
휘이이,휘이이,whoosh,whoosh,,whoosh
웅성,웅성,clamor,clamor,,clamor
웅성,웅성,clamor,clamor,,clamor
힐끔,힐끔,glance,glance,,glance
약속한 시간이 다 되어가는데…,약속한 시간이 다 되어가는데…,it's almost time...,it's almost time...,,"it's almost time, but..."
휘이이,휘이이,whoosh,whoosh,,whoosh
왜 이렇게 늦는 거야.,왜 이렇게 늦는 거야.,why is she so late?,why is she so late?,"[한글 대화]의 주어는 명시되어 있지 않지만, 문맥상 '이블린'을 기다리는 상황이므로 'she'로 번역한 것은 적절하다. 의미도 일치하고 정보의 양도 동일하며, 수동태도 아니다. 따라서 1차 영어 번역문을 그대로 사용해도 된다.",...but where is she?
지금부터 드레이번행 기차에 탑승할 승객분들께서는 승무원에게 표를 확인해 주시기 바랍니다.,지금부터 드레이번행 기차에 탑승할 승객분들께서는 승무원에게 표를 확인해 주시기 바랍니다.,"passengers boarding the train to drevon, please show your tickets to the conductor.","Passengers boarding the train to Drayvon, please present your tickets to the conductor.",,"all passengers boarding the train to drayven, please have your tickets ready for the train crew."
기차는 곧 출발합니다.,기차는 곧 출발합니다.,the train will be departing shortly.,The train will be departing shortly.,,the train will be departing shortly.
손님? 짐칸으로 짐을 옮겨드릴까요?,손님? 짐칸으로 짐을 옮겨드릴까요?,"sir, would you like me to move your luggage to the baggage car?","Excuse me, would you like me to move your luggage to the baggage car?","원문의 '손님?'은 성별이 명확하지 않으며, 영어 번역에서 'sir'로 번역된 것은 성별을 특정한 표현이므로 정보의 양이 다릅니다. 따라서 성별을 특정하지 않는 표현으로 다시 번역해야 합니다.","sir, would you like me to stow your bags in the baggage car?"
"아, 예...","아, 예...","oh, yes...","oh, yes...",,"oh, yes..."
부탁드립니다.,부탁드립니다.,please do.,Could you please take care of it?,"[한글 대화] ""부탁드립니다.""는 정중한 요청 표현이며, 이는 ""please do.""보다 더 공손한 표현이 필요하다. 특히 문맥상 짐을 옮겨달라는 요청으로 보이며, 상대는 서비스 제공자(기차 직원)로 추정된다. 따라서 ""Could you please..."" 형태가 더 적절하다.",please do.
"젠장, 이블린...","젠장, 이블린...","damn it, evelyn...","damn it, evelyn...",,"damn it, evelyn..."
대체 무슨 일이 생긴 거야..?,대체 무슨 일이 생긴 거야?,what happened...?,what happened...?,,what happened...?
술렁술렁,술렁술렁,clamor,clamor,,chatter chatter
검표와 신원 확인이 있겠습니다.,검표와 신원 확인이 있겠습니다.,we will now be checking your tickets and identification.,We will now conduct ticket and identity checks.,,we will now check your tickets and identification.
"현재 도주 중인 인물이 있다는 신고가 접수되어 신원 확인을 철저히 하고 있으니,","현재 도주 중인 인물이 있다는 신고가 접수되어 신원 확인을 철저히 하고 있으니,","we received a report that a person is on the run, so we are conducting a thorough identity check.","We received a report that a person is on the run, so we are conducting a thorough identity check.","[한글 대화]는 수동태 표현이지만 [1차 한글 번역문]은 능동태이며, 의미와 정보량도 일치하므로 그대로 사용해도 무방합니다.","a report has been receive about a fugitive on the run, so we are conducing a thorough identity check."
스윽,스윽,lift,swish,,lift
양해 부탁드립니다.,양해 부탁드립니다.,we ask for your understanding.,We ask for your understanding.,,we apologize for the inconvenience.
예.,예.,"yes, of course.",yes.,"[한글 대화]는 단순히 ""예.""로, ""yes""와 의미가 일치하며 정보의 양도 동일하다. ""of course""는 추가적인 확신의 표현이므로 정보가 더 많아져 원문과 불일치한다. 따라서 ""yes""만 사용하는 것이 적절하다.","yes, of course."
"흠,","흠,","hm,","hm,",,hmm...
힐끔,힐끔,glance,glance,,glance
올렌 스미스' 맞으십니까?,올렌 스미스' 맞으십니까?,are you mr. ollen smith?,Are you Mr. Ollen Smith?,,are you mr. ollen smith?
그리고 일행은 따님이신 '리사 스미스'...,그리고 일행은 따님이신 '리사 스미스'...,"and your companion is your daughter, miss lisa smith...","and your companion is your daughter, miss lisa smith...",,"and this must be your daughter, lisa smith..."
방긋,방긋,*smiles brightly*,*smiles brightly*,,smile
씨익,씨익,*grins*,*grins*,,grin
"예, 맞습니다!","예, 맞습니다!","yes, that's right!","Yes, that's right!",,"yes, that's right!"
객실 인원은 3명으로 예약하셨군요. 가족여행이라도 가시는 건가요?,객실 인원은 3명으로 예약하셨군요. 가족여행이라도 가시는 건가요?,you booked three seats. are you going on a family trip?,You reserved a room for three people. Are you going on a family trip?,"[1차 한글 번역문]은 ""당신은 좌석 세 개를 예약했군요. 가족여행 가시나요?""로 해석되며, 이는 [한글 대화]의 ""객실 인원은 3명으로 예약하셨군요. 가족여행이라도 가시는 건가요?""와 의미가 유사하지만, '객실 인원'이라는 표현이 '좌석'으로 바뀌어 정보의 양이 다릅니다. '객실 인원'은 객실을 함께 사용하는 사람 수를 의미하고, '좌석'은 단순히 좌석 수를 의미하므로 정보의 양이 다릅니다. 따라서 새로 번역해야 합니다. 주어는 승무원 혹은 직원으로 추정되며, 공손한 표현이 필요합니다.",i see you have booked three seats. are you going on a family trip?
하하,하하,"haha,","haha,",,haha
"네, 그렇습니다. 휴가 삼아 한 번 떠나볼까 해서...","네, 그렇습니다. 휴가 삼아 한 번 떠나볼까 해서...","yes, that's right. we thought we'd go on a vacation...","yes, that's right. we thought we'd go on a vacation...",,"yes, that's right. we thought we'd go on a vacation..."
기차는 5분 후 출발합니다. 탑승을 서둘러 주시기 바랍니다.,기차는 5분 후 출발합니다. 탑승을 서둘러 주시기 바랍니다.,the train will be departing in five minutes. please hurry and board.,The train will be departing in five minutes. Please hurry and board.,,the train will be departing in five minites. please proceed to board promoptly.
저... 그런데 말입니다.,저... 그런데 말입니다.,um... but...,um... but...,,um... but...
일행이 아직 오지 않아서요. 조금만 더 기다려줄 수 있을까요?,일행이 아직 오지 않아서요. 조금만 더 기다려줄 수 있을까요?,our companion hasn't arrived yet. could you wait a little longer?,Our companion hasn't arrived yet. Could you wait just a little longer?,"원문의 주어는 '일행이'로 제3자이며, 1차 영어 번역문은 'our companion'으로 주어가 화자 포함 1인칭 복수로 바뀌어 있어 주어가 다릅니다. 따라서 정보의 양이 다르며, 1차 번역문은 무시하고 다시 번역해야 합니다.",my wife hasn't arrived yet. could you give us a bit more time?
"아, 아직 도착하지 않으셨나요? 기차 출발까지 시간이 얼마 남지 않았는데..","아, 아직 도착하지 않으셨나요? 기차 출발까지 시간이 얼마 남지 않았는데.","oh, she hasn't arrived yet? there's not much time left until the train departs...","oh, she hasn't arrived yet? there's not much time left until the train departs...",,"oh, she's not here yet? the train will be departing shortly though..."
"예, 저, 사실 부인이 거동이 좀 불편해서..","예, 저, 사실 부인이 거동이 좀 불편해서..","yes, um... actually, my wife has trouble walking...","yes, um... actually, my wife has trouble walking...",,"yes, um... actually, my wife has trouble walking..."
시간을 조금 더 주시면 감사하겠습니다.,시간을 조금 더 주시면 감사하겠습니다.,we would appreciate it if you could give us a little more time.,We would appreciate it if you could give us a little more time.,,i would appreciate it if you could give us a bit more time.
스윽,스윽,lean,lean,,lean
흐음...,흐음...,hmm...,hmm...,,hmm...
...,...,......,......,,...
"스미스씨,","스미스씨,","mr. smith,","Mr. Smith,",,mr. smith...
정말 부인을 기다리시는 게 맞습니까?,정말 부인을 기다리시는 게 맞습니까?,are you really waiting for your wife?,"Are you truly waiting for your wife, Mr. Smith?","원문의 ""정말 부인을 기다리시는 게 맞습니까?""는 평서문이 아니라 의문문이며, 주어는 '당신(스미스 씨)'입니다. 1차 영어 번역문은 소문자로 시작하고 주어가 생략되어 있어 문법적으로 부정확하며, 웹툰의 문맥상 이 대사는 공적인 상황에서의 신원 확인 과정이므로 정중한 표현이 필요합니다. 따라서 주어를 포함하고 정중한 어조로 능동태로 다시 번역해야 합니다.",are you really waiting for your wife?
뿌우우우,뿌우우우,choo,choo,,vwooo
뿌우우우,뿌우우우,choo,choo,,vwooo
휘이이,휘이이,whoosh,whoosh,,whoosh
꿀꺽,꿀꺽,gulp,gulp,,gulp
...무슨 말씀이시죠?,...무슨 말씀이시죠?,what do you mean...?,what do you mean...?,,what do you mean...?
팔락,팔락,flip,flip,,flip
"예약된 객실 인원은 세 분이시고,","예약된 객실 인원은 세 분이시고,","you booked three seats,",You reserved a room for three people.,"[한글 대화]는 '예약된 객실 인원은 세 분이시고'로, '객실 인원'이라는 구체적인 정보가 포함되어 있다. 반면 [1차 영어 번역문] 'you booked three seats'는 단순히 좌석을 예약했다는 의미로, '객실 인원'이라는 정보가 누락되어 정보의 양이 다르다. 따라서 새로 번역해야 한다. 주어는 'you'로 명확하므로 이를 포함해 능동태로 번역한다.","you booked three seats,"
탑승자 명단에는...,탑승자 명단에는...,"and on the passenger list,",The name appears on the passenger list.,"[한글 대화]는 ""탑승자 명단에는...""으로, 문맥상 어떤 이름이 명단에 있다는 정보를 전달하려는 도입부이다. 하지만 [1차 영어 번역문] ""and on the passenger list,""는 문장이 불완전하며 주어와 동사가 없어 의미 전달이 부족하다. 또한 ""and""로 시작하는 것은 이전 문장에 의존하는 연결 표현이므로, 주어진 문장만으로는 완전한 의미를 전달하지 못한다. 따라서 [한글 대화]의 의미를 능동태로 완전하게 전달하는 문장으로 다시 번역해야 한다.",and the name i have here is...
노아 스미스'라는 이름이 보이네요.,노아 스미스'라는 이름이 보이네요.,i see the name noah smith.,It appears that the name 'Noah Smith' is on the list.,"[1차 한글 번역문]은 ""노아 스미스라는 이름이 보이네요""를 단순히 ""나는 노아 스미스라는 이름을 본다""로 번역했지만, 원문은 더 공손하고 간접적인 표현으로, 관찰된 사실을 조심스럽게 전달하는 어조다. 따라서 정보의 양은 같지만 어조가 다르므로, 더 자연스럽고 정중한 표현으로 다시 번역해야 한다.",...noa smith.
아드님의 성함이 아니십니까?,아드님의 성함이 아니십니까?,isn't that your son's name?,"Is that your son's name, sir?","원문의 ""아드님의 성함이 아니십니까?""는 존댓말로, 상대방에게 공손하게 묻는 표현이다. 1차 영어 번역문 ""isn't that your son's name?""은 의미는 유사하지만 평서체에 가까운 반말투로 공손함이 부족하다. 따라서 문맥상 기차 승무원이 손님에게 정중하게 묻는 상황이므로, 공손한 표현을 사용해 능동태로 다시 번역해야 한다.",isn't that your son's name?
...예?,...예?,what...?,what...?,,what...?
그 이름으로 이미 짐칸에 짐을 맡겨놓은 걸로 기록이 있습니다만...,그 이름으로 이미 짐칸에 짐을 맡겨놓은 걸로 기록이 있습니다만...,there is a record that you already checked in your luggage under that name...,there is a record that you already checked in your luggage under that name...,,there is a record of luggage already checked in under that name...
