origin_hangle,changed_hangle,first_translate,second_translate,reason,label
"트집도 정도껏이지, 완전히 미친 여자야!","트집도 정도껏이지, 완전히 미친 여자야!",she's completely lost her mind!,She's not just nitpicking—she's completely insane!,"[한글 대화]는 ""트집도 정도껏이지, 완전히 미친 여자야!""로, 불합리하게 트집을 잡는 행동에 대한 비난과 상대방이 미쳤다는 평가를 함께 담고 있다. 하지만 [1차 영어 번역문]은 ""she's completely lost her mind!""로, 단순히 미쳤다는 평가만 담고 있어 트집 잡는 행동에 대한 정보가 누락되었다. 따라서 정보의 양이 다르므로 새로 번역해야 한다. 주어는 문맥상 화자가 여성 상사에 대해 말하고 있으므로 ""she""로 유지한다.",she's completely lost her mind!
덜컹,덜컹,clatter,clatter,,clatter
덜컹,덜컹,clank,clank,,clatter
"하, 그렇게 사치를 부리더니 돈이 다 떨어진 모양이지!","하, 그렇게 사치를 부리더니 돈이 다 떨어진 모양이지!",ha! she must have spent all her money on luxury!,"Ha, looks like she ran out of money after all that luxury!","[한글 대화]는 ""그렇게 사치를 부리더니 돈이 다 떨어진 모양이지!""로, 사치를 부린 결과로 돈이 다 떨어졌다는 추측을 표현하고 있다. [1차 영어 번역문]은 ""she must have spent all her money on luxury!""로, 이는 ""그녀는 사치에 모든 돈을 썼음에 틀림없다""는 의미로 번역되며, 원문의 ""돈이 다 떨어진 모양이지""라는 결과에 대한 추측보다는 원인에 초점을 맞추고 있다. 따라서 의미가 완전히 일치하지 않으며, [한글 대화]의 의미에 맞춰 다시 번역해야 한다. 주어는 문맥상 '그녀(she)'로 판단된다.","ha, she must have spent all her money on luxury items!"
아쉬워할 거 없어!,아쉬워할 거 없어!,it's nothing to be sad about!,There's nothing to regret!,"[1차 영어 번역문] ""it's nothing to be sad about!""을 한글로 번역하면 ""슬퍼할 일이 아니야!"" 정도로 해석되며, 이는 [한글 대화] ""아쉬워할 거 없어!""와 유사하지만 뉘앙스가 다릅니다. ""아쉬워할 거 없어!""는 미련이나 아쉬움에 대한 감정을 말하는 것이고, ""슬퍼할 일""은 보다 감정적으로 깊은 슬픔을 의미합니다. 따라서 의미가 완전히 일치하지 않으며, 원문에 더 충실한 번역이 필요합니다.",it's nothing to be sad about!
가라앉는 배에서는 얼른 내려야지!,가라앉는 배에서는 얼른 내려야지!,we should get off the sinking ship now!,You should get off the sinking ship as soon as possible.,"원문 ""가라앉는 배에서는 얼른 내려야지!""는 일반적인 속담 표현으로, 위기에 처한 상황에서 빨리 빠져나와야 한다는 의미입니다. 1차 영어 번역문 ""we should get off the sinking ship now!""는 의미는 유사하지만, 원문에는 주어가 명시되어 있지 않고, 일반적인 진술이므로 ""you should"" 또는 ""one should""처럼 일반적인 조언 형태로 번역하는 것이 더 적절합니다. 또한 ""얼른""이라는 표현은 ""quickly"" 또는 ""as soon as possible""로 반영되어야 하므로, 정보의 양이 다릅니다. 따라서 새로 번역해야 합니다.",we should leave this sinking ship now!
저 혼자 살겠다고 전부 내치다니..,저 혼자 살겠다고 전부 내치다니.,i can't believe she kicked us all out to save herself.,She cast everyone aside just to save herself.,"[1차 한글 번역문]은 ""그녀가 우리 모두를 쫓아냈다는 것을 믿을 수 없다""는 의미로, 감탄과 놀라움을 표현하고 있습니다. 반면 [한글 대화]는 ""저 혼자 살겠다고 전부 내치다니""로, 그녀가 자기만 살기 위해 모두를 내쳤다는 비난의 의미가 더 강합니다. 또한 [1차 한글 번역문]은 감탄문이고, [한글 대화]는 비난의 평서문입니다. 따라서 의미가 일치하지 않으며, [1차 영어 번역문]은 무시하고 새로 번역해야 합니다. 주어는 생략되어 있지만 문맥상 '그녀'가 주어입니다.",i can't believe she kicked us all out to save herself.
"에라이, 퉷!","에라이, 퉷!",blegh!,blegh!,"해당 [한글 대화]는 감탄사와 침을 뱉는 소리를 표현한 의성어/의태어로, 효과음에 해당합니다. 따라서 [1차 영어 번역문]을 그대로 사용합니다.",pfft!
공작저의 운명도 다 끝났어!,공작저의 운명도 다 끝났어!,the winter dukedom is done for!,The ducal house has met its end!,"[한글 대화]는 ""공작저의 운명도 다 끝났어!""로, '공작저'는 'the duke's residence' 또는 'the ducal house'로 번역할 수 있고, '운명도 다 끝났다'는 표현은 'its fate is sealed' 또는 'its end has come' 등으로 표현 가능하다. 반면 [1차 영어 번역문]은 ""the winter dukedom is done for!""로, 'done for'는 파멸했다는 의미는 맞지만, 'dukedom'은 '공작령'을 의미하며 '공작저'와는 의미가 다르다. 즉, 'dukedom'은 영토나 작위를 의미하고, '공작저'는 건물이나 가문을 의미할 수 있다. 따라서 의미가 일치하지 않으며 정보의 양도 다르다. 그러므로 [한글 대화]를 기반으로 다시 번역해야 한다.",the end is near for house winter!
말도 없이 갑자기..,말도 없이 갑자기.,without any notice...,without any notice...,,she didn't even tell us why...
술렁술렁,술렁술렁,clamor,clamor,,clamor
뭔가 큰일이 벌어지려는 건 아니겠지?,뭔가 큰일이 벌어지려는 건 아니겠지?,is something bad going to happen?,Is something big about to happen?,"[한글 대화]는 ""뭔가 큰일이 벌어지려는 건 아니겠지?""로, 이는 '큰일'이 '벌어지려는 것'에 대한 우려를 나타내는 의문문이다. [1차 영어 번역문] ""is something bad going to happen?""은 의미는 유사하지만, '큰일'을 'bad'로 단정 지어 부정적인 의미로 번역했다. 그러나 원문은 반드시 부정적인 의미로만 해석되지는 않으며, '큰일'은 중립적이거나 긍정적인 의미일 수도 있다. 따라서 'something big'으로 번역하는 것이 더 정확하며, 주어인 'I'도 추가해야 한다.",is something bad going to happen?
휘이이,휘이이,whoosh,whoosh,,fwoosh
....,....,......,......,,...
윈터 공작이 사용인들을 전부 내보냈다고?,윈터 공작이 사용인들을 전부 내보냈다고?,duchess winter fired all her servants?,Did the Duke of Winter dismiss all his servants?,"‘윈터 공작’은 남성이므로 ‘duchess’(여공작)가 아니라 ‘duke’(남공작)로 번역해야 하며, ‘fired’는 ‘해고하다’라는 의미로 적절하지만, 원문에는 ‘내보냈다’는 표현이므로 단순히 해고가 아닌 다른 이유로 보낼 수도 있음을 고려해 ‘dismissed’가 더 중립적이고 적절함. 또한 원문은 의문문이므로 주어 ‘Did the Duke of Winter’로 시작하는 의문문 구조가 필요함.",duchess winter fired all her servants?
팔락,팔락,flip,flip,,flip
"은밀하게, 하루아침에?","은밀하게, 하루아침에?",in secret and overnight?,Did he do it secretly and all in one night?,,in secret and overnight?
흠,흠.,hm...,hm...,,hmm...
"..이상하군, 무슨 수작이지?","이상하군, 무슨 수작이지?",that's strange. what is she up to?,That's strange. What is she up to?,"원문 ""이상하군, 무슨 수작이지?""는 주어가 명시되어 있지 않지만, 문맥상 누군가의 행동을 의심하는 말이다. 1차 영어 번역문은 ""what is she up to?""로 번역되어 'she'라는 주어를 사용했는데, 이는 문맥상 특정 인물을 지칭하는 것으로 보이며 자연스럽다. 또한 정보의 양도 동일하고, 수동태가 아닌 능동태이다.",...how strange. what is she up to?
...,...,......,......,,...
"즉시 움직여서 해고된 사용인들을 찾고, 공작에 대해 캐물어.","즉시 움직여서 해고된 사용인들을 찾고, 공작에 대해 캐물어.",go find the fired servants and ask them about the duchess.,"Move immediately, find the dismissed servants, and question them about the duke.","원문 '공작'은 남성인 'duke'를 의미하지만, 1차 번역에서는 'duchess'(여공작)로 잘못 번역되어 의미가 일치하지 않음. 또한 원문은 명령문이지만 주어가 생략되어 있어, 영어 번역에서는 주어를 보완해야 함. 따라서 'You'를 주어로 넣어 능동태 명령문으로 다시 번역함.",seek out the servant and uncover what you can about the duchness.
"돈을 쓰든, 협박을 하든 방법을 가리지 말고.","돈을 쓰든, 협박을 하든 방법을 가리지 말고.",use money or threats. do whatever it takes.,"Use any means necessary—bribe them, threaten them, whatever it takes.","[1차 한글 번역문]은 ""돈을 쓰든, 협박을 하든 방법을 가리지 말고.""를 ""돈이나 협박을 써라. 어떤 수단이든 써라.""로 번역했는데, 이는 원문의 명령문 구조와 의미는 유사하지만, 원문에는 '누구에게' 명령하는지가 빠져 있다. 웹툰의 문맥상 이 명령은 부하에게 하는 것이므로 주어를 명확히 포함시켜야 하며, 명령의 주체도 명확히 해야 한다. 또한 ""방법을 가리지 말고""는 ""어떤 수단이든 써라""로 자연스럽게 능동태로 번역 가능하다.",use money or intimidation--whatever proves most effective.
예.,예.,"yes, your highness.","Yes, ma'am.","문맥상 이 대사는 '조슈아'가 '부인'에게 대답하는 장면이며, 'your highness'는 왕족에게 쓰는 경칭이다. 하지만 이 장면에서 상대는 '부인'으로 불리고 있으며, 귀족이긴 해도 왕족은 아니다. 따라서 'your highness'는 부적절한 호칭이다. 'ma'am'이 더 적절하다.","yes, your highness."
"내막을 아는 자가 한둘쯤은 있을 거야,",내막을 아는 자가 한둘쯤은 있을 거야.,"there must be someone who knows what happened,",There must be at least a few people who know the truth.,"[1차 한글 번역문]은 ""내막을 아는 자가 한둘쯤은 있을 거야""를 ""무슨 일이 있었는지 아는 사람이 있을 것이다""로 번역했는데, 이는 의미는 유사하지만 ""한둘쯤은""이라는 수량 표현이 누락되어 정보의 양이 다릅니다. 따라서 새로 번역해야 합니다. 주어는 문맥상 명령을 내리는 인물로 보이며, 일반적인 진술이므로 ""I""를 주어로 사용합니다.",there should at least be a couple of people who know the truth...
특히 가장 오래 일했던 자일수록..,특히 가장 오래 일했던 자일수록.,especially those who worked there the longest.,Especially the ones who have worked there the longest.,,especially those who worked there the longest.
"자, 빨리 움직여.","자, 빨리 움직여.","now, go quickly.","Now, move quickly.",,"now, go quickly."
그 망할 여우가 꽁무늬를 빼기 전에.,그 망할 여우가 꽁무니를 빼기 전에.,before that damn fox gets away.,Move before that damn fox runs away.,"[한글 대화]는 ""그 망할 여우가 꽁무니를 빼기 전에.""로, 주어는 '너(you)'이고, '그 망할 여우가 도망치기 전에'라는 의미로 행동을 취하라는 명령문이다. 반면 [1차 영어 번역문]은 단순히 시간 조건절로만 번역되어 있어, 주어가 빠져 있고 명령의 의미가 누락되어 정보의 양이 다르다. 따라서 능동태 명령문으로 다시 번역해야 한다.",before that damn fox gets away.
휘이이,휘이이,whoosh,whoosh,,fwoosh
휘이이,휘이이,whoosh,whoosh,,fwoosh
부인.,부인.,your grace.,your grace.,"‘부인’은 귀족 여성에 대한 존칭으로, 문맥상 ‘your grace’는 적절한 번역이다. 의미와 정보의 양이 동일하며, 효과음도 아니므로 그대로 사용 가능하다.",madam.
신변을 정리하시는 겁니까?,신변을 정리하시는 겁니까?,are you getting your affairs in order?,"Are you getting your affairs in order, ma'am?",,are you arranging your affairs?
끼익,끼익,creak,creak,,creak
떠나시려는 건가요?,떠나시려는 건가요?,are you leaving?,"Are you intending to leave, ma'am?","원문의 '떠나시려는 건가요?'는 존댓말이며, '시려는'이라는 표현은 의도를 묻는 말이다. 따라서 단순히 'are you leaving?'은 존댓말의 뉘앙스와 의도 파악을 반영하지 못한다. 또한 주어가 생략되어 있으므로 문맥상 주어를 보완해야 한다. 상대방이 '부인'이므로 공손한 표현도 필요하다.",are you planning to leave?
제게 기별도 않고?,제게 기별도 않고?,without telling me?,Did you intend to leave without even informing me?,"[한글 대화]는 ""제게 기별도 않고?""로, 이는 ""왜 나에게 아무 말도 없이?""라는 의미의 의문문이다. [1차 영어 번역문] ""without telling me?""는 문법적으로 주어가 없고, 불완전한 문장이다. 따라서 주어를 포함한 완전한 문장으로 능동태로 다시 번역해야 한다.",without telling me?
뚜벅,뚜벅,step,step,,step
..역시 제 사용인들 중에 사람을 심어놓으셨군요.,역시 제 사용인들 중에 사람을 심어놓으셨군요.,so you had a spy among my servants.,So you planted someone among my servants.,,i knew it... you planted a spy among my servants.
부인께서는 늘 감추시는 게 많으니까요.,부인께서는 늘 감추시는 게 많으니까요.,you always have so many secrets.,"Because you always hide so many things, Madam.","원문 ""부인께서는 늘 감추시는 게 많으니까요.""는 존칭 표현이 포함되어 있고, ""감추시는 게 많다""는 말은 단순히 ""비밀이 많다""는 의미를 넘어 '무언가를 숨긴다'는 뉘앙스를 담고 있음. 또한 ""you always have so many secrets""는 존칭이 빠져 있고, ""감추다""라는 능동적 행위보다는 단순히 '비밀을 가지고 있다'는 상태를 표현하고 있어 의미가 다름. 따라서 원문에 맞게 존칭과 능동적 뉘앙스를 살려 다시 번역해야 함.",you always shrouded in secrets.
이렇게 불쑥 드나드는 건 좋은 그림이 아닙니다.,이렇게 불쑥 드나드는 건 좋은 그림이 아닙니다.,it doesn't look good for you to come and go as you please.,It doesn't look good when you barge in like this.,"[한글 대화]는 ""이렇게 불쑥 드나드는 건 좋은 그림이 아닙니다.""로, '불쑥'이라는 갑작스러운 행동의 뉘앙스를 포함하고 있음. 하지만 [1차 한글 번역문]은 '마음대로 드나드는'으로 번역되어 '불쑥'의 갑작스러움이 누락되었고, 이는 정보의 양이 다른 것으로 판단됨. 따라서 [한글 대화]를 기반으로 능동태로 다시 번역해야 함. 주어는 상대방이므로 ""you""로 설정.",coming and going like this doesn't paint a good picture.
"수도 없이 경고했는데, 정말 가르치는 보람이 없군요.","수도 없이 경고했는데, 정말 가르치는 보람이 없군요.",i warned you many times. it seems my lessons were not enough.,I've warned you countless times. It's truly disappointing to see that none of it paid off.,"[1차 한글 번역문]은 '수도 없이 경고했는데'를 'i warned you many times'로, '정말 가르치는 보람이 없군요'를 'it seems my lessons were not enough'로 번역했지만, 후자의 경우 원문은 '보람이 없다'는 감정 표현인데, 'not enough'는 단순히 수단이나 양의 부족을 의미해 감정의 뉘앙스가 다르다. 따라서 의미가 일치하지 않으며, 감정적 실망을 더 잘 반영하는 표현으로 재번역이 필요하다.","i've warned you time and again, yet it seems my lessons were insufficient."
..어디로 가시려는 겁니까?,어디로 가시려는 겁니까?,where are you going?,"Where do you intend to go, ma'am?","원문의 ""어디로 가시려는 겁니까?""는 존댓말이며, ""가시려는""은 의도나 목적지를 묻는 표현으로 ""intend to go"" 또는 ""plan to go""와 같은 의미를 포함한다. 반면 1차 영어 번역문 ""where are you going?""은 평서체이며 정중함이 부족하고, 단순히 현재 진행 중인 동작을 묻는 표현이다. 따라서 의미와 정보의 양이 다르며, 정중한 표현으로 다시 번역해야 한다.",...where are you going?
전 아무 데도 가지 않습니다.,전 아무 데도 가지 않습니다.,i'm not going anywhere.,I'm not going anywhere.,,i'm not going anywhere.
그렇다면 왜 사용인들을 전부 내보내셨죠?,그렇다면 왜 사용인들을 전부 내보내셨죠?,then why did you send away all your servants?,Then why did you dismiss all your servants?,,then why did you fire all the servants?
이제 필요 없으니까..,이제 필요 없으니까.,i don't need them anymore.,I don't need them anymore.,"[한글 대화]는 ""이제 필요 없으니까.""로, 주어는 명시되어 있지 않지만 문맥상 '그녀'가 '사용인들'을 더 이상 필요로 하지 않는다는 의미다. [1차 영어 번역문]은 ""i don't need them anymore.""로, 주어가 'I'로 명확히 드러나 있고, 'them'이 사용인들을 지칭하므로 의미와 정보량이 일치하며, 능동태이다. 따라서 그대로 사용 가능하다.",because i don't need them anymore.
후우,후우,haa...,haa...,,haa...
더는 이용 가치가 없어요.,더는 이용 가치가 없어요.,they're no longer of any use.,They no longer serve any purpose.,,they're no longer of any use.
...,...,......,......,,...
또각또각,또각또각,click,click,,click click
부인께서는 항상 거짓말만 하시는군요.,부인께서는 항상 거짓말만 하시는군요.,you always lie.,"You always tell lies, Madam.","원문 ""부인께서는 항상 거짓말만 하시는군요.""는 존칭 표현이 포함되어 있으며, 주어는 '부인께서'입니다. 1차 영어 번역문 ""you always lie.""는 존칭이 없고, 평어체이며, 주어는 'you'로 되어 있어 존칭 표현이 반영되지 않았습니다. 따라서 정보의 양이 다르고 공손함이 부족하므로, 원문을 존중어로 능동태로 다시 번역해야 합니다.","you spin another lie at evey opportunity, madam."
왕자님께서는 늘 어리석은 선택을 하시고 말입니다.,왕자님께서는 늘 어리석은 선택을 하시고 말입니다.,and you always make foolish decisions.,The prince always ends up making foolish decisions.,"원문의 주어는 '왕자님'으로, 2인칭 'you'가 아니라 3인칭 'the prince' 또는 'he'로 번역되어야 합니다. 또한, '늘 어리석은 선택을 하시고 말입니다'는 공손한 표현이므로 이를 반영해 존칭을 유지해야 합니다.","and you always make foolish decisions, your highness."
피식,피식,ha...,ha...,,smirk
한쪽 눈만으로는 교훈이 충분치 못했나 봅니다?,한쪽 눈만으로는 교훈이 충분치 못했나 봅니다?,didn't you learn anything from losing your eye?,Was losing one eye not enough of a lesson for you?,"[1차 한글 번역문]은 ""눈을 잃은 것에서 아무것도 배우지 못했나?""라는 의미로, 수동태이며 '눈을 잃다'라는 표현이 들어가 있다. 반면 [한글 대화]는 ""한쪽 눈만으로는 교훈이 충분치 못했나 봅니다?""로, '한쪽 눈만으로는 교훈이 부족했나?'라는 의미이다. 즉, 정보의 양이 다르고 수동태이므로 새로 번역해야 한다. 주어는 상대방(왕자)이며, 능동태로 표현해야 한다.",did the loss of your eye teach you nothing?
이전에 했던 말씀은 뭡니까?,이전에 했던 말씀은 뭡니까?,what about what you said before?,What did you mean by what you said earlier?,"[1차 영어 번역문] ""what about what you said before?""를 한글로 번역하면 ""전에 하신 말씀은 어땠죠?"" 또는 ""전에 하신 말씀은요?"" 정도로 해석되며, 이는 [한글 대화] ""이전에 했던 말씀은 뭡니까?""와 의미가 다릅니다. 원문은 '이전에 했던 말의 내용이 무엇이냐'는 질문으로, 단순히 '그 말에 대해 어떻게 생각하느냐'는 의미가 아닙니다. 따라서 의미가 일치하지 않으며, [1차 영어 번역문]은 무시하고 다시 번역해야 합니다. 주어는 대화 상대방이며, 문맥상 공손한 표현이 필요하므로 이를 반영합니다.",what about what you said before?
대령과 결탁하라고 하시지 않았습니까.,대령과 결탁하라고 하시지 않았습니까?,you told me to join forces with the colonel.,Didn't you tell me to join forces with the colonel?,,you told me to join forces with the colonel.
아아.. 그거 말이죠..,"아아, 그거 말이죠.","ah, that...","ah, that...",,"ah, that..."
"그냥 잊어버리세요,",그냥 잊어버리세요.,forget about it.,Just forget about it.,,forget about it.
폐기된 계획이니까.,폐기된 계획이니까.,it's no longer part of the plan.,We scrapped that plan.,"[한글 대화]는 '폐기된 계획이니까.'로, 이는 '그 계획은 폐기되었기 때문에'라는 의미이다. [1차 영어 번역문] 'it's no longer part of the plan.'은 '그것은 더 이상 계획의 일부가 아니다'라는 뜻으로, 의미는 유사하지만 '폐기되었다'는 능동적인 행위가 아닌 상태를 나타내는 표현이며, 수동적인 뉘앙스를 가진다. 따라서 능동태로 '그 계획을 폐기했다'는 의미를 담아 새로 번역해야 한다.",it's no longer part of the plan.
어째서?,어째서?,why?,Why did you abandon the plan?,"[한글 대화] '어째서?'는 '왜 그런 일이 일어났는가?' 또는 '왜 그렇게 했는가?'라는 의미의 의문문이다. [1차 영어 번역문] 'why?'는 의미는 일치하지만, 주어가 없는 상태이다. 평서문이나 의문문에서는 주어가 반드시 필요하므로, 문맥상 주어를 보완해 능동태로 다시 번역해야 한다. 직전 대사인 '폐기된 계획이니까.'에 대한 질문이므로, 'Why did you abandon the plan?'이 자연스럽다.",why?
그보다 확실한 방법이 있으니까.,그보다 확실한 방법이 있으니까.,because there's a better way.,Because I have a more certain way.,"[1차 한글 번역문]은 '더 나은 방법이 있다'는 의미로, [한글 대화]의 '그보다 확실한 방법이 있으니까'와 유사하지만, '확실한'이라는 뉘앙스가 'better'로는 충분히 전달되지 않음. 'better'는 단순히 '더 나은'이지만, '확실한'은 'more certain' 또는 'more reliable'처럼 확신을 주는 표현이므로 정보의 양이 다름. 따라서 새로 번역해야 함.",because there's a better way.
그게 뭡니까?,그게 뭡니까?,what's that?,What is that?,"[한글 대화]는 ""그게 뭡니까?""로, 이는 ""그것이 무엇입니까?""라는 의미의 정중한 질문이다. [1차 영어 번역문] ""what's that?""은 의미는 유사하지만, 문체가 캐주얼하고 주어가 생략되어 있다. 원문의 정중한 어투와 문장 구조를 반영하기 위해 주어를 포함한 문장으로 능동태로 다시 번역해야 한다.",what is that?
또각또각,또각또각,tap,tap,,click click
"조슈아,","조슈아,","joshua,","Joshua,",,"joshua,"
왕자라는 직책을 떠나서,왕자라는 직책을 떠나서.,"beyond your title as prince,",Set aside your title as prince.,"원문 [한글 대화]는 '왕자라는 직책을 떠나서.'로, 이는 주어가 생략된 평서문이며, '왕자라는 직책을 떠나서'라는 조건을 제시하는 문장이다. [1차 영어 번역문] 'beyond your title as prince,'는 문장 구조상 불완전하며, 주어와 동사가 없어 문장이 성립되지 않는다. 따라서 정보의 양이 부족하고 문법적으로도 불완전하므로, [한글 대화]를 기반으로 능동태로 다시 번역해야 한다. 주어는 문맥상 'you'로 추론 가능하다.","regardless of your birthright as prince,"
너는 진정으로 왕이 되고 싶은가?,너는 진정으로 왕이 되고 싶은가?,do you truly wish to become king?,Do you truly wish to become a king?,,do you really want to be king?
너는 시민의 구도자라는 역할을 맡을 만큼 현명하고 공명정대한가?,너는 시민의 구도자라는 역할을 맡을 만큼 현명하고 공명정대한가?,are you wise and fair enough to take on the role of savior to the people?,Are you wise and just enough to take on the role of a savior to the citizens?,,do you possess the wisdom and justice to bear the mantle of truth-seeker for your people?
대답해.,대답해.,answer me.,Answer me.,"원문의 '대답해.'는 명령문이며, 주어가 생략되어 있지만 문맥상 명령을 내리는 화자가 있고, 듣는 이는 '너'로 추정된다. 따라서 영어 번역 시 주어 'you'를 포함한 명령문으로 번역해야 한다. 'Answer me.'는 자연스러운 명령문이며, 원문의 의미와 정보량이 일치하고 능동태이므로 수정 없이 사용할 수 있다.",answer me.
"..예,",예.,"yes,",Yes.,,...yes.
그렇게 될 겁니다.,그렇게 될 겁니다.,i will become king.,That is what will happen.,"[한글 대화]는 ""그렇게 될 겁니다.""로, 이는 앞선 질문 ""너는 진정으로 왕이 되고 싶은가?""와 ""너는 시민의 구도자라는 역할을 맡을 만큼 현명하고 공명정대한가?""에 대한 대답이다. [1차 영어 번역문] ""i will become king.""은 ""나는 왕이 될 것이다""라는 의미로, 원문의 ""그렇게 될 겁니다""보다 구체적인 정보를 담고 있어 정보의 양이 다르다. 원문은 포괄적인 긍정의 의미로, 단순히 '그렇게 될 것이다'라고만 말하고 있어, '왕이 될 것이다'라는 구체적인 내용은 포함되어 있지 않다. 따라서 [1차 영어 번역문]은 정보의 양이 더 많아, 새로 번역해야 한다.","yes, i will be."
"아니, 넌 못해.","아니, 넌 못해.","no, you can't.","No, you can't.","원문의 ""아니, 넌 못해.""는 ""너는 할 수 없다""는 의미로, 1차 영어 번역문 ""no, you can't.""는 의미와 정보량이 일치하며, 수동태도 아님. 주어도 포함되어 있어 그대로 사용 가능.","no, you won't."
왕자라는 명함만 떼면 별 볼일 없는 애송이에 불과하니까.,왕자라는 명함만 떼면 별 볼일 없는 애송이에 불과하니까.,"without your title, you're nothing but a worthless brat.","Without the title of prince, you're just an unremarkable brat.","[1차 영어 번역문]을 한글로 번역하면 ""네 직함이 없으면, 너는 쓸모없는 애송이에 불과하다""로, [한글 대화] ""왕자라는 명함만 떼면 별 볼일 없는 애송이에 불과하니까""와 의미는 유사하지만, ""별 볼일 없는""과 ""worthless""는 뉘앙스 차이가 있다. ""worthless""는 가치가 전혀 없다는 의미로 더 강한 표현이며, ""별 볼일 없는""은 그보다는 약한 표현이다. 또한 ""왕자라는 명함만 떼면""은 ""if you take away the title of prince""처럼 구체적으로 표현할 수 있다. 따라서 원문의 뉘앙스를 더 정확히 살리기 위해 다시 번역해야 한다.","strip away the title, and you're nothing more than a child."
….,….,......,......,,...
내가 틀렸어.,내가 틀렸어.,i was wrong.,I was wrong.,,i was wrong.
시대가 변했어.,시대가 변했어.,the times have changed.,The times have changed.,,the times have changed.
