hangle,first_translate,second_translate,label
"귀찮으면 빈정거리지 말고,","if you’re annoyed, don’t be sarcastic.","If you're bothered, don't be sarcastic.","if there's something bothering you, stop beating around the bush."
차라리 화를 내!,just get mad!,"Rather, just get mad!",just get mad at me instead!
이… 바보!,you idiot!,You... idiot!,you... idiot!
"잠깐, 피오나!","wait, fiona!","Wait, Fiona!","fiona, wait!"
저리 가!,go away!,Go away!,go away!
따라오지 마!,don’t follow me!,don’t follow me!,don't follow me!
그런 게 아니라…,that’s not what I meant...,It's not like that...,I didn't mean it like that...
어… 음…,uh... um...,Uh... um...,uh... um...
…단 과자라도 가져다줄까.,should I bring her some sweets?,Should I bring some sweets?,do you want me to get you a cookie or something...?
아가씨를 달래본 적이 별로 없다.,I’ve never really tried to comfort her before.,I’ve rarely comforted her before.,he's never had to console a lady before.
날 몇 살이라고 생각하는 거야?,how old do you think I am?,how old do you think I am?,how old do you think I am?
그보다 그냥 가던 길 가라니까.,just go back to where you were going.,"Rather than that, just go where you were going.",you can just be on your way.
왜 따라온 거야.,why did you follow me?,Why did you follow me?,why did you have to follow me?
네가 울면서 창고로 도망치는데 어떻게 그냥 가나.,how could I just leave when you ran away crying to the storage room?,How could I simply walk away when you ran off crying to the storage?,how was I supposed to walk away when you were running to the storage room in tears?
그런 소리를 다 할 줄 아네.,I didn’t expect you to say something like that.,I didn’t expect you to say something like that.,I never expected to hear that coming from you.
…나,I...,I...,I...
시그렌이랑 싸웠어.,...fought with siegren.,I fought with Siegren.,...had a fight with siegren.
어둠과 관련된 일 때문이군.,it must have been about the darkness.,"It must have been about the darkness, then.",it was about the darkness.
맞아. 내 행동은 충분히 옳았다고 생각하는데.,yes. I think what I did was right.,Yeah. I think what I did was completely right.,"sure, I know what I did was the right thing,"
시그렌이 괜히 말을 밉게 하는 거야.,siegren was just being mean for no reason.,Siegren was being unnecessarily harsh with his words.,but I didn't like what siegren was getting at.
날 걱정하는 거란 건 알겠지만…,"I know he was worried about me, but...","I know he was worried about me, but...",I know that he's just worried about me...
눈물을 닦아줘야…,I should wipe her tears...,I should wipe the tears...,I should wipe her tears...
"아니,","no,","No,","no,"
안 될 일이지…,I shouldn’t...,That wouldn't be right...,I can't do that...
피오나 헤일론.,"fiona heylon,",Fiona Heylon.,"fiona heylon,"
너는 좋은 아가씨다.,you’re a good lady.,You’re a good young lady.,you’re a good lady.
좀 무모하긴 했지만 책임감도 있고.,"you’re a bit reckless, but you’re also responsible.","you’re a bit reckless, but you’re also responsible.","you can be a bit reckless, but you're responsible."
내 생각에도 네 판단이 객관적으로 옳았다.,I also think your decision was objectively correct.,I also think your decision was objectively correct.,I think your judgment was objectively right.
그러니 시그렌이 뭐라고 했든 별로 신경 쓰지 않았으면 좋겠어.,so I hope you don’t care about what siegren said.,That's why I hope you don't pay much attention to what Siegren said.,that's why I don't think you should pay much attention to whatever siegren said.
남자친구의 생각 하나에 이렇게 흔들리기엔…,you’re too good...,It’s not worth letting your boyfriend’s opinion shake you this much.,it would be a shame to see a girl of your caliber get shaken...
네가 너무 아깝다.,...to be shaken by what your boyfriend thinks.,You're too good for this.,...by what your boyfriend thinks.
