hangle,first_translate,second_translate
정확히 알고 계시네요.,you know very well.,You know exactly.
웃어?,you’re laughing?,Are you laughing?
게다가 그 본가는…,and your original family...,"Besides, your birth family..."
네. 마약 사업 혐의로 재산을 몰수당했죠.,"yes, they had their wealth confiscated for drug trafficking.",Yes. Their wealth was confiscated due to involvement in the drug trade.
제가 직접 고발한 일이고요.,I was the one who reported them.,I was the one who personally reported them.
"세상에, 저라면 도저히 못할 거예요.","my goodness, I could never do that.","Oh my, I could never do that."
무슨 이유에서든 가족을 자기 손으로 배신하는 건…,"betraying your own family with your own hands, for whatever reason...","No matter the reason, betraying your own family with your own hands..."
짐승이나 할 짓이죠.,only a beast would do such a thing.,That's something only a beast would do.
"자, 잠깐만요!",w-wait!,H-hold on a second!
피오나 영애…,lady fiona...,Lady Fiona...
"그래서,","so,","So,"
하고 싶은 말이 뭔가요?,what are you trying to say?,what are you trying to say?
적당히 하라는 소리예요!,I’m telling you to know your place!,I'm telling you to stop.
"운 좋게 양녀가 되었다고 해도,","even if you were lucky enough to be adopted,","Even if you were lucky enough to become an adopted daughter,"
귀족 영애라면 정도를 지켜야죠.,you should know your place as a noble lady.,"As a noble lady, you should act with propriety."
"…해서, …",so...,And so...
영애도……,you should...,You too...
시그렌.,siegren.,siegren.
피오나 영애 왜 딴 곳을 보시죠.,"lady fiona, why are you looking elsewhere?","Lady Fiona, why are you looking away?"
지금 제가 말하고 있는 게 안 보이나요?,can’t you see I’m talking to you?,Can’t you see that I’m speaking?
아직 할 말이 더 있답니다.,I still have more to say.,I still have more to say.
"영애,","my lady,","My lady,"
남의 저택에서 신세를 지고 있는 와중에 전하께 꼬리를 치셨죠?,"you were shameless enough to seduce his highness while staying at someone else’s manor, weren’t you?","You tried to seduce His Highness while staying at someone else's manor, didn't you?"
제 하녀가 말해주었단 말이에요. 어젯밤에-,my maid told me last night--,My maid told me. Last night--
잠깐.,wait.,Wait.
"아덴 영애, 말이 심하세요!","lady arden, that’s too harsh!","Lady Arden, you're being too harsh!"
심하긴 뭐가 심해요.,what’s so harsh about it?,"What do you mean, harsh?"
저는 그저 사실을 말하는 것뿐…,I’m just stating the facts--,I’m just stating the facts.
"꺄,","ah,","Eek,"
꺄아아악!,aaah!,Aaah!
영애의 말은 다 맞아요.,"you’re right about everything, my lady.","You’re right about everything, my lady."
"전 사생아고, 제가 태어난 가문도 직접 부수었죠.","I’m an illegitimate child, and I destroyed the family I was born into.","I'm an illegitimate child, and I brought down the family I was born into."
하지만 똑똑한 아덴 영애가 하나 파악하지 못한 게 있네요.,"but there’s one thing you haven’t realized, smart lady arden.","But there’s one thing you failed to realize, clever Lady Arden."
"저는 그 덕분에 권력과 힘,","thanks to that, I now have both power...","Thanks to that, I now have both power and authority."
두 개 다 가지고 있답니다.,...and strength.,...I have both power and strength.
지금 이 자리에서 제가 영애의 머리카락을 불태워도,"even if I burn your hair right here,","If I burn your hair here and now,"
아덴 자작님은 제 아버지께 항의서 몇 장 보내는 게 고작일 거란 뜻이죠.,the most viscount arden would do is send a few letters of complaint to my father.,"At most, all Viscount Arden could do is send a few letters of complaint to my father."
망아지처럼 구는 것도 상대를 보면서 하세요.,you should know who you’re dealing with before you act recklessly.,Don't act like a reckless foal without considering who you're up against.
그러다 목 잘려요.,you might lose your head.,That could get you killed.
"그리고,",and...,And...
"화,",your...,Your...
황자 전하….,your highness...,Your Highness...
티파티가 꽤나 즐거워 보이는군.,"it looks like you’re having a very enjoyable tea party,",It looks like you're having quite an enjoyable tea party.
헤더 아덴 영애.,lady eunice heather arden.,Lady Heather Arden.
"그, 그게…",I-I...,Th-that's...
어제 그런 일이 있었으니 고개를 못 들겠지.,she can’t even lift her head after what happened yesterday.,She can't even lift her head after what happened yesterday.
마지막으로 충고 하나 할게요.,let me give you one last piece of advice.,Let me give you one last piece of advice.
남의 남자 탐내지 마세요.,don’t covet someone else’s man.,don’t covet someone else’s man.
이건 지금 내 거거든.,he’s mine now.,This belongs to me now.
