원문,첫 번 째 후보군,두 번 째 후보군,bleu 기준 라벨
본부 쪽은 어둠이 와서 초토화가 되었으니까.,the darkness destroyed the base camp.,The base camp was completely devastated when the darkness came.,1
"네 몸이 너무 안 좋아서, 당장 영주의 성으로 이동할 수가 없었어.",you were in such bad shape that we couldn’t move you to the lord’s castle.,Your condition was too bad to move you to the lord’s castle right away.,2
다른 사람들은 모두 무사하니까 걱정하지 마.,"everyone else is safe, so don’t worry.","Everyone else is safe, so don’t worry.",3
그렇구나.,I see.,I see.,3
"…뭐해, 누워서 더 쉬어.",what are you doing? lie down and rest some more.,What are you doing? Lie down and rest some more.,3
"날 구하기 위해서 다른 사람들이 얼마나 고생했을지,",I want to know how much trouble everyone went through to save me...,I wonder how much everyone struggled to save me.,2
내가 어둠 속에서 본 게 뭔지…,...and what I saw in the darkness.,What I saw in the darkness...,1
당장이라도 알아보고 다니고 싶어서.,I want to go find out right now.,I want to go find out right now.,3
안돼.,no.,No.,3
지금은 절대안정이야.,you need to rest.,You need absolute rest for now.,2
알고 있어. 실은 돌아다닐 힘도 없다고.,I know. I don’t even have the strength to walk around.,"I know. Actually, I don't even have the strength to walk around.",1
그래도 꼭 하고 싶은 게 하나 있어.,but there’s one thing I want to do.,But there's one thing I really want to do.,2
뭔데?,what is it?,What is it?,3
"…시그렌, 이리 와.","siegren, come here.","Siegren, come here.",3
…왜 그러는 거야?,what is it?,Why are you doing this?,2
네가 우는 것 같아서.,it sounds like you’re crying.,It seems like you're crying.,2
안아주고 싶어.,I want to hold you.,I want to hug you.,2
저러고 있으니까,he looks...,Seeing him like that...,2
꼭 어린아이 같아.,...just like a child.,Just like a little kid.,2
옛날 생각나네.,it reminds me of the past.,This reminds me of the past.,1
피오나.,fiona.,fiona.,3
너 때문에 미칠 것 같아….,you’re driving me crazy.,I feel like I’m going crazy because of you.,1
"이틀 뒤,","two days later,","Two days later,",3
피해지역 근처 도시.,a city near the affected area,A city near the affected region.,1
잘못될까 봐 진짜 걱정했어요.,I was so worried that something had happened to you.,I was really worried that something might have gone wrong.,1
의식도 없으셨고…,you were unconscious...,You were unconscious as well...,1
"혼수상태는 물론이고, 체온도 낮았죠.","you were in a coma, and your body temperature was low.","Not only were you in a coma, but your body temperature was also low.",1
"한마디로,","in other words,","In other words,",3
반 시체였지.,you were half dead.,You were like a half-corpse.,2
"무사하면 됐지, 뭐.","well, I’m fine now.",What matters is that I’m safe.,1
주군과 시그렌 전하도 그렇게 생각할까요?,do you think his grace and prince siegren will feel the same way?,Would his lordship and Prince Siegren think the same way?,1
공작님에게는 비밀로 해주세요…,please don’t tell his grace...,Please keep it a secret from His Grace...,1
주군께 감히 비밀을 만들 수는 없죠.,we can’t keep secrets from our lord.,We can’t possibly keep secrets from our lord.,2
하…,haa...,Ha...,1
"어쨌건,","anyway,","anyway,",3
그 후에 다른 사람들에게 감사 인사를 잔뜩 받았다.,I received a lot of thanks from everyone afterward.,"After that, I received many words of gratitude from others.",2
"아카데미 연구원들은 물론이고, 엑스트라 기사들도 날 찾아왔었지.",not only the academy researchers but also the extra knights came to see me.,Not only the academy researchers but also the extra knights came to see me.,3
영지의 주인인 렐턴 후작도 우리를 환대하며,"marquess relton, the owner of the territory, also welcomed us...","Marquess Relton, the lord of the territory, also welcomed us...",1
저녁 식사에까지 초대해 주었고.,...and invited us to dinner.,...and even invited us to dinner.,1
"이번 일로 유니스의 힘에 가능성이 있다는 것도 확인했으니,","we also confirmed that eunice’s power has potential,",We also confirmed that Eunice's power has potential through this incident.,1
일이 꽤 잘 풀렸다 할 수 있겠어.,so I’d say things turned out pretty well.,So I’d say things turned out pretty well.,3
후작의 저택으로 이동 중,on the way to the marquess’s manor,On the way to the marquis's manor.,1
"하지만,","however,","However,",3
풀리지 않는 의문도 여럿 있네…,there are still many unanswered questions.,There are still many unanswered questions.,3
어둠 속의 그 사람은 대체 누구일까?,who was that person in the darkness?,Who was that person in the darkness?,3
…그냥 환각이려나?,was it just a hallucination?,…Was it just a hallucination?,1
어둠이 환각도 보여주던가…,does the darkness show hallucinations?,Does the darkness create hallucinations too?,2
고민해도 좀처럼 답이 안 나오네.,I can’t find an answer no matter how much I think about it.,"No matter how much I think about it, the answer just won’t come to me.",1
그리고,and...,And,1
또 하나의 의문점.,...there’s one more question.,Another mystery.,1
"어둠에 빨려 들어가기 직전,","right before I was sucked into the darkness,","right before I was sucked into the darkness,",3
뒤!!,behind you!,behind!,1
"잠깐이지만,","it was only for a moment,","It was only for a moment,",3
어둠이 다가오는걸 막을 수 있었어.,but I was able to stop the darkness from coming.,I was able to stop the darkness from approaching.,1
"나는 혹시,",could it be...,Could I be...,1
어둠을 조종할 수 있는 걸까?,...that I can control the darkness?,Could I control the darkness?,1
