원문,첫 번 째 후보군,두 번 째 후보군,bleu 기준 라벨
티 파티 이후로 우리를 볼 때마다 발그레 해지는 것도 그렇고.,she blushes every time she sees us after the tea party.,She blushes every time she sees us after the tea party.,3
난 전혀 모르겠는데.,I don’t see it.,I don’t see it.,3
응?,huh?,Huh?,3
뭐야?,what?,What?,3
질투?,are you jealous?,Jealous?,1
사귀라고 만들어 놓은 애들이 이러다니…,I made him so he could date her...,"I set you two up to be together, and now look at this...",2
너희 둘이 사랑을 해야 유니스가 각성을 하고 세계를 구한다고….,eunice has to fall in love with him so she can awaken and save the world...,You two need to fall in love for Eunice to awaken and save the world...,2
"그 방법이 안 될 것 같으니,","but it doesn’t look like that’s going to happen,","Since that method doesn’t seem to be working,",2
이번에 가는 죽은 땅에서 뭔가 힌트라도 얻길 바라는 수밖에….,so I’ll have to find some clues in the dead lands...,Looks like I'll have to find some clues in the dead lands this time...,2
"시그렌, 나 잠깐 어디 좀 다녀올게!","siegren, I’ll be right back!","siegren, I’m going somewhere for a bit!",1
뭐?,what?,What?,3
어디?,where are you going?,Where?,1
순진한 아가씨 구출하러!,I’m going to rescue a damsel in distress!,I'm off to rescue a damsel in distress!,2
좋다…,this is nice...,Nice...,1
혼자 있으니까 조금 마음이 편해지는 기분이야.,I feel more at ease now that I’m alone.,I feel a bit more at ease being alone.,2
행렬에는 사람이 너무 많아서 괜히 지쳐….,"there are too many people in the procession, so it’s exhausting...","There are too many people in the procession, and it’s unnecessarily exhausting…",1
"아가씨, 여기서 뭐 해?","what are you doing here, miss?","Miss, what are you doing here?",1
잠깐 같이 놀까?,do you want to play with us?,How about playing with us for a bit?,1
"이, 이거 놔주세요!!",l-let me go!!,L-Let me go!!,3
"자자, 앙탈 부리지 말고.","now, now. don’t be like that.","Now, now. Don’t throw a tantrum.",1
이봐.,hey.,Hey.,3
"그 아가씨는 곱게 놔 드리고,",let the lady go...,Let the lady go nicely.,1
네 자리로 돌아가.,...and get back to your post.,Get back to your post.,1
영애…,my lady...,My lady...,3
"푸,",pfft.,Pfft.,3
푸핫.,ahaha.,Pfft.,1
저건 또 뭐야.,what’s this now?,What's that now?,1
생긴 건 제법 괜찮은데…,you’re quite handsome...,You don’t look too bad...,1
"자, 너도 이쪽으로 와!",come here too!,Come over here too!,2
나와 유니스를 못 알아보는 모양이네.,they don’t seem to recognize eunice and me.,They don’t seem to recognize me and Eunice.,1
그러면 직접 누구인지 보여줄 수밖에.,then I’ll have to show them who we are.,Then I'll have to show them who I am.,2
잠깐.,wait.,Wait.,3
아가씨가 손을 더럽힐 필요는 없어.,"you don’t have to get your hands dirty, my lady.","My lady, you don’t have to get your hands dirty.",2
용병왕…,the king of mercenaries...,the Mercenary King...,1
권터,gunter,gunter,3
여기는 내가 해결하지.,I’ll take care of this.,I'll handle this here.,2
"아, 아하하.",a-ahaha.,A-ahaha.,3
권터 씨네 사람인 줄은 미처 몰랐습니다.,"I didn’t know she was with you, sir.",I didn’t realize they were Gunter’s people.,1
아가씨는 놔드릴 테니 한 번 봐주시죠.,"I’ll let her go, so please forgive me.","I'll let the lady go, so please look the other way.",2
"자, 얼른 가!","now, go!","Now, hurry up and go!",1
얼른!,hurry!,Hurry up!,1
그러면 숙녀분도 돌려드렸으니 저희는 이만…,we’ll be going now that we’ve returned the lady--,We'll be going now that we've returned the lady.,1
너희를 이대로 보내면 내가 공작한테 더러운 꼴을 당해서.,I’ll suffer humiliation from the duke if I let you go like this.,"If I let you go like this, I’ll suffer humiliation from the duke.",1
"어이, 고용주님.","hey, boss.","Hey, employer.",1
"이놈들,",should I...,"These guys,",1
가랑이에 달린걸 잘라 버릴까?,...cut off what’s between their legs?,Cut off what’s between their legs?,1
