hangle,first_translate,idiom_translate,label,idiom
제길.,damn it.,damn it.,damn.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
크악!!,agh!!,agh!!,argh!!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
누가 사주했어?,who ordered you to do this?,who ordered you to do this?,who sent you?,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
우리는 그냥…,we were just...,we were just...,we just…,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"귀, 귀족인지도 모르고.",w-we didn't even know she was a noble.,w-we didn't even know she was a noble.,...d-didn’t know you were a noble.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
부잣집 아가씨 한 명 납치해 달라는 의뢰를 받아서…,we were just hired to kidnap a rich girl...,we just got a request to kidnap a rich lady...,we were just hired to kidnap the daughter of a wealthy family…,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
의뢰인은 누군데?,who hired you?,who was the client?,so who hired you?,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"모, 모릅니다.",I-I don't know.,I-I don't know.,I-I don’t know.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
좋아.,all right.,all right.,fine.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
손가락 몇 개가 날아가면 배후를 말하겠어?,how many fingers do I have to cut off for you to tell me?,how many fingers do I have to cut off for you to tell me?,how many of your fingers will it take for you to tell me?,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"정, 정말 모릅니다!",I-I really don't know!,I really don't know!,I-I really don’t know!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
아가씨에게서 주인님이 보여…,I see his grace in her...,I see his grace in miss fiona...,she really takes after duke heylon…,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
리안더 경.,sir lyander.,sir lyander.,sir lyander.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
예.,"yes, miss fiona.",yes.,"yes,  my lady.","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
저들이 어디 길드 인간인지만 알아낸 뒤에 적당히 처리해요.,find out which guild they belong to and take care of them.,find out which guild they belong to and take care of them.,find out which guild they’re a part of and get rid of them.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
이미 이쪽은 사망자가 나왔으니 봐줄 필요 없어요.,"we've already suffered casualties, so there's no need to go easy on them.",there's no need to go easy on them since we already have casualties.,"they’ve killed one of our men, so you don’t need to show them any mercy.","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"마음이 물러지면 당하고, 약하면 죽는다.","if you soften your heart, you'll be taken advantage of. if you're weak, you'll die.","if you show mercy, you suffer; if you're weak, you die.","those with soft hearts suffer, and those who are weak die.","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
위험 요소를 남겨둘 수는 없지.,we can't leave any threats behind.,we can't leave any threats behind.,don’t leave any room for retaliation.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
알겠습니다.,"yes, miss fiona.","yes, miss.","understood, my lady.","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
그리고 저는…,and I...,and I...,and I…,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
조금 항의를 하러 갈게요.,...will go and file a complaint.,...will go and file a complaint.,...will file a little complaint.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
누구냐!,who are you?!,who is it?!,who is it?!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
안녕하세요?,hello.,hello?,how do you do?,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
피오나 헤일론이라고 해요.,my name is fiona heylon.,my name is fiona heylon.,my name is fiona heylon.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"헤일론이라면 그 4대 귀족 중 하나에,",heylon? one of the four great noble families?,heylon? one of the four great noble families?,heylon is one of the four great noble families...,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
용병들이 특히나 신세를 지는 가문 아닌가!,and the family that mercenaries are indebted to!,the family that mercenaries are especially indebted to?,...with many mercenaries under their command!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"마, 말…",p-please...,p-please...,h-hello…,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
편하게 해주시죠…,...speak comfortably.,...make yourself comfortable...,"it’s an honor to meet you,  my lady…","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"응, 그럴게.","yes, I will.","yes, I will.",of course it is.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"실은 여기 길드 용병에게 재밌는 일을 당해서,","actually, I came to file a complaint...","actually, I had an interesting experience with a mercenary from this guild,","we actually ran into some trouble with mercenaries from your guild,","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
항의하러 왔어.,...because of something interesting that happened with a guild mercenary.,so I came to file a complaint.,so I came to file a complaint.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
길드야 항상 중립이니까 시시콜콜하게 따질 생각은 없어.,"I know the guild is always neutral, so I don't want to nitpick.","I know that the guild is always neutral, so I won't nitpick.","guilds are always neutral, so I’m not going to sit here and split hairs with you.","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
내가 궁금한 건 하나야.,there's just one thing I'm curious about.,there's only one thing I want to know.,but the one thing I want to know is...,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
의뢰인의 이름.,the name of the client.,the name of the client.,...who hired them.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
저희는… 의뢰인의 신원을 비밀로 하는 게 원칙이라…,our policy is to keep the client's identity confidential...,our principle is to keep the client's identity a secret...,my lady… it’s our policy to keep our client names confidential…,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
아무리 용병 길드라도 공작가를 적으로 돌리면 좋지 않을 텐데.,"even if you're a mercenary guild, it won't be good for you to make an enemy of a duke's family.","even if you're a mercenary guild, it won't be good to make an enemy out of a duke's family.","it would be a bad idea for a mercenary guild to make an enemy out of a ducal family,","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
우리에게 밉보이는 위험을 감수하겠다고?,are you willing to risk getting on our bad side?,are you willing to risk getting on our bad side?,and yet he’s willing to risk antagonizing us.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
의뢰인의 가문이 우리 가문보다 신분이 높은가?,is the client's family of a higher status than ours?,is the client's family of a higher status than ours?,is the family of the client more powerful than ours?,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
아무래도 입을 열면 곤란한 것 같네.,it seems like it would be difficult for them to tell me.,it seems like it will be difficult to get them to talk.,"I understand that telling me might put you in a tough spot,","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"좋아, 그럼 넘어가 줄게.","all right, I'll let it go.","all right, I'll let it go.","so fine, I’ll let it go then.","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"대신, 당연히 다음부터는 이런 일이 있을 때 슬쩍 언질은 주겠지?","but next time, you'll give me a heads-up if something like this happens, right?","but next time, you'll give me a heads-up if something like this happens, right?","however, you’ll let us know if something like this ever happens again, won’t you?","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
난 연약한 귀족 영애라 이런 일을 또 당하는 게 무섭거든.,"I'm just a weak noble lady, and I'm scared of going through something like this again.","I'm just a weak noble lady, and I'm scared of something like this happening again.","I’m just a weak noble lady, and I’m scared something like this might happen again.","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
어…,uh...,uh...,oh…,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
그건…,well...,well...,well…,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
크학?!,agh?!,agh?!,ugh?!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
대답은?,what's your answer?,what's your answer?,what do you say?,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"무, 물론입니다,","o-of course,","o-of course,","o-of course,","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
영애!,miss fiona!,miss!,my lady!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
좋아요.,good.,good.,good.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
살벌해…,she's so scary...,she's so scary...,she’s vicious…,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
이 일은 공작님께 나쁘지 않게 말씀 드릴 테니 걱정 마시고요.,don't worry. I'll tell his grace that you weren't at fault.,"don't worry, I won't tell his grace about this.","I’ll make sure duke heylon doesn’t get the bad news of what happened here, so don’t worry.","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
그러면 저희는 이만 가볼게요.,we'll be going now.,we'll be going now.,"we’ll leave you, then.","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"예, 예!",y-yes!,y-yes!,"y-yes, my lady!","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
살펴 가십시오!,take care!,take care!,take care!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
의뢰주는 헤일론 가문보다 위.,the client is of a higher status than house heylon.,the client is of a higher status than house heylon.,the mercenaries were hired by a family that’s more powerful than house heylon.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
정보는 이 정도로 충분하다.,that’s enough information for now.,that’s enough information for now.,that’s all I need to know.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
제대로 조사해두도록 하자.,I'll have to investigate this properly.,I'll have to look into this properly.,"I’ll have to look into the matter properly,","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
지금 헤일론 저택의 사람들을 통째로 책임지고 있는 건 나니까.,"after all, I'm the one responsible for everyone in the heylon manor right now.","after all, I'm responsible for everyone in the heylon manor right now.","and since  I’m the one currently responsible for everyone in heylon manor,","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
철저하게 행동해야 해.,I have to be thorough.,I have to be thorough.,I must be extremely thorough.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"드래곤을 처치했다고 해서 긴장했는데,","I was worried because she defeated a dragon,","I was worried because they said she killed a dragon,","I was scared because they said he could kill a dragon,","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
괜한 짓이었군.,but it was for nothing.,but it was for nothing.,but I was worried for nothing.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
무방비하긴!,she's completely defenseless!,she's completely defenseless!,he’s defenseless!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
미안하지만…,"I'm sorry, but...","I'm sorry, but...","I’m sorry,","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
내 의뢰인을 위해 죽어라!!,...you'll have to die for my client!!,...you'll have to die for my client!!,but my client wants you dead!!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
