hangle,first_translate,review,idiom
의도가 살짝 불순해서 그런가.,is it because my intentions aren’t entirely pure?,Is it because my intentions are somewhat impure?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"난 미안함과 애정, 계산적인 마음이 섞여서 가까워지고 싶은 건데.","my feelings for him are mixed with guilt, affection, and calculation.","I want to get closer to him, driven by a mix of guilt, affection, and calculation.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
그는 그걸 이유 없는 호의로 여겨 경계하는 모양이다.,"but apparently, he views my actions as unprovoked kindness and doesn’t trust me.","But apparently, he views my actions as unprovoked kindness and is wary of me.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
섣불리 다가갔다가 날 더 싫어하게 되면 미래가 불안해지는데.,"if I try approaching him carelessly and end up making him hate me even more, our future will become uncertain.","If I approach him recklessly and he ends up hating me even more, I'll be anxious about the future.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
아가씨.,lady olivia.,My lady.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
끝났나요?,are we done?,Are you done?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
그렇긴 합니다만….,"well yes, but--","I suppose so, but…","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
문제가 생겼나요?,has there been some sort of problem?,Has there been a problem?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"아뇨, 부상의 회복은 무척 순조롭습니다.","no, not exactly. lord siegren has recovered quite well.","No, the recovery is going very smoothly.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
다만…….,however...,It's just that...,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
무슨 일이 생긴 건가요?,what happened?,Has something happened?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"그 아이, 용병단 출신이라고 들었습니다.",I heard that young boy came from a group of mercenaries.,I heard that child was from a group of mercenaries.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
하지만 다 나아도 돌아가게 해도 될지 의문이 드는군요.,"even after he recovers completely, I wonder whether it would be wise to send him back.","But even if he fully recovers, I have doubts about whether we should send him back.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"본인은 입을 열지 않지만,","he hasn’t said anything himself,","He refuses to say anything himself,","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
온몸에 빼곡히 오래된 흉터가….,but judging by these old scars covering every inch of his body...,His body is covered in old scars...,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
시그렌!,siegren!,Siegren!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
말도 안 돼.,this isn’t possible.,No way.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
설마 이 정도일 줄은 몰랐다고!,I didn’t realize it was this bad!,I didn't expect it to be this bad!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
내가 무슨 짓을 한 거지?,how could I do such a thing?,What have I done?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
무슨 일이야?,what’s wrong?,What's going on?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
시그렌.,siegren.,Siegren.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"뭐, 뭐야?!",w-what?! hey! stop!!!,W-what?!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
미안해. 잠깐 옷 좀 올릴게.,I’m sorry. let me lift your shirt real quick.,I'm sorry. Let me lift your clothes for a moment.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
뭐?!,whaaat?!,What?!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
갑자기 무슨 소리야?!,what are you talking about?!,What are you saying all of a sudden?!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
실례하겠습니다!!,excuse me!!!,Excuse me!!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
실례인 걸 알면 하지 말라고!,then excuse yourself outta here!,"If you know it's rude, then don't do it!","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
잠깐이면 되니까….,just for a second...,It’ll only take a moment...,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
오돌토돌한 촉감이 느껴져….,I feel bumpy skin...,I can feel the bumpy texture...,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
군데군데 움푹 파여있고.,with dents everywhere.,There are dents here and there.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
정말로 흉터가…!,these are actually scars...!,These are really scars...!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
이렇게 엉망진창이라니!,they’re terrible!,It's a complete mess!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
어떻게 이런 일이….,how did they happen...?,How could this happen...?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
하지 말라고!,stop it!,Don't do that!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
아….,oh...,Ah....,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
이러려고 했던 게 아닌데!,this wasn’t supposed to go like this!,This wasn’t what I intended!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"무슨…. 너, 몸 안에 깃털이라도 차 있는 거야?!",do you weigh nothing?! are you made of feathers?!,Are you filled with feathers or something?!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
왜 이리 쉽게 밀쳐져―,you pushed me away way too easily--!,Why are you getting pushed away so easily--!,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"야, 떨어지면서 다쳤어?!","wait, did you hurt yourself while falling down?!","Hey, did you get hurt when you fell?!","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"아니, 울지만 말고 말 좀 해봐….","c-come on, please stop crying and say something...","No, don't just cry, say something.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
어디가 아픈 건데. 어깨? 다리?,where does it hurt? your shoulder? leg?,Where does it hurt? Your shoulder? Your leg?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"아니, 이럴 게 아니라 빨리 의원을 불러서-","no, wait. forget that. I’ll call the physician first--","No, this isn't the time for this. I need to call the physician quickly--","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"뭐, 뭐야 또….",wh-what again...?,Wh-what now...?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
...어.,uh...,...Uh.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
다친 데 없어. 그냥….,I’m fine. I just...,I'm fine. I just...,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"시그렌의 가슴, 팔, 옆구리를 가득 채운 흔적과 흉터.","scars covered siegren's chest, arms, and sides.","Scars covered Siegren's chest, arms, and sides.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
그리고 푸른 멍들.,"on top of that, there were also blue bruises.",And blue bruises.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
단순히 부상으로 남은 것들이 아니다.,those weren’t simply injuries left behind.,These aren't just injuries from past wounds.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"고의로 불에 지져지고,",they were traces of being burned intentionally...,They were scars from being deliberately burned.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
일방적인 폭력에 시달리면서 생긴 흔적들이다.,...and subjected to unilateral violence.,"These are traces left by relentless, one-sided violence.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
상처에는 오랜 세월 동안 반복된 악의가 담겨 있었다.,malicious intent repeated over many years was embedded into each wound.,Malicious intent repeated over many years was embedded in each wound.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
시그렌.,siegren.,Siegren.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"네 상처, 누가 한 거야?",who inflicted these wounds upon you?,Who did this to your wounds?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
의원에게 들었어?,did you hear that from the physician?,Did you hear from the physician?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
그걸 확인하려고 내 옷을 벗기려고 한 거야?,is that why you tried to undress me?,Is that why you tried to take off my clothes?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
응.,yep.,Yeah.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"뭐야, 그거 때문에 운 거야?",seriously? you cried because of that?,What? You cried because of that?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
그래서 내가 붕대 갈 때부터 나가 있으라고 했잖아.,that’s why I told you to leave during the dressing change.,That's why I told you to leave when I was changing the bandages.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"본인이 굳이 봐 놓고 울기는,","after seeing everything yourself, you still cry?","You insisted on seeing it yourself, and now you're crying?","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
하여간 완전 제멋대로―,"anyway, you’re totally selfish--","Anyway, you do whatever you want--","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
시그렌의 몸에서는 소독약 냄새가 난다.,"right now, antiseptic smells wafted from siegren’s body.",The scent of antiseptic lingered on Siegren’s body.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
지금은 그것마저 미안하다.,everything makes me feel guilty.,Even that smell makes me feel guilty now.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
그가 오랫동안 말도 안 되는 고통을 당한 것은 내 탓이었다.,"for a long time, he suffered unimaginable pain due to me.",He suffered unimaginable pain for a long time because of me.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"그저, 불운한 유년 시절을 보냈다는 간단하고 가볍게 쓰인 단 한 문장.","in the original story, it was described briefly and lightly in a single sentence saying that he spent an unfortunate childhood.",Just a single simple and light sentence described his unfortunate childhood.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
단순한 활자와 눈앞에 닥친 현실의 차이는 엄청났다.,the difference between mere words on paper and the harsh reality unfolding before my eyes was huge.,The difference between mere words on a page and the reality unfolding before my eyes was immense.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
...왜 그렇게 된 거야?,how did this happen?,Why did this happen?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
별거 아니야.,it’s nothing special.,It's nothing.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"용병 중에는 거친 놈들이 많고,","there are lots of rough people among mercenaries,",There are lots of rough people among the mercenaries.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
마침 제일 어리고 약한 내가 표적이 되었을 뿐이지.,"and since I was the youngest and weakest, I became their target.","It just so happened that I was the youngest and weakest, so I became their target.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"시그렌, 별거 아니라 여기지마.","don’t think of it as “nothing,” siegren.","Don't think of it as nothing, Siegren.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
...동정하는 거야?,are you pitying me?,Are you pitying me?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
이건 동정이 아니다 정확히는 죄책감에 가까웠다.,"pity? no, it felt closer to guilt.","This isn't pity. If anything, it's closer to guilt.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"사실 지금까지 시그렌의 존재에 대해,","until now, I hadn’t fully grasped...","Honestly, until now, I never really thought about Siegren's existence.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
이 세계에 대해 제대로 실감하지 못했다.,...the fact that siegren existed in this world.,I never truly realized the reality of this world.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
