hangle,first_translate,review,idiom
4 성벽의 불미스러운 일을 처리하라는 명을 받고 왔습니다.,I came upon receiving orders to deal with some unpleasant matters on the fourth wall.,I was given orders to handle the disturbances at the Fourth Outer Wall.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
네…그…. 피오나님?,l-lady fiona?,Uh… Lady Fiona?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
혹시 이게 어떤 불미스러운 일인지는 아는 건지…?,do you happen to know what those “unpleasant matters” are?,"Do you happen to know what this ""unpleasant matter"" is?","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
당연하죠. 그 서류에 있는 내용은 모두 숙지했어요.,naturally. I’ve read every single thing written in there.,Of course. I've thoroughly reviewed everything in that document.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
정 못 믿겠다면 거기 있는 내용을 전부 읊을 수도-,"and if you still refuse to trust me, then I could recite its contents aloud--","If you still can't believe it, I could recite all of its contents.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"아, 아니요!","a-ah, no!","Ah, no!","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
아니요!,not necessary!,No!,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
제가 무엇을 도와드려야 하는지 알려주십시오.,please tell me how I may assist you.,Please tell me what I need to do to assist you.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"우선, 병사들이 범죄자를 연행하게 해주세요.","firstly, please let the soldiers arrest the criminals.","First, please have the soldiers take the criminals into custody.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
두 번째로 마을 광장에 사람들을 모아 주세요.,"secondly, gather everyone together at the town square.","Secondly, gather people at the town square.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
그리고 세 번째로….,and thirdly...,And thirdly...,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"시그렌, 용병들이 주로 어디에서 모이는지 알아?","siegren, where do most of the mercenaries usually hang out?","Siegren, do you know where the mercenaries usually gather?","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
알아.,I know.,I know.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
성벽 근처에 있는 주점에 항상 모여 있어.,they always meet up at the bar near the walls.,They always gather at the tavern near the wall.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
들으셨죠? 주점에서….,did you hear that? at the bar...,Did you hear that? At the tavern...,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
이걸로 준비는 됐고….,"with this, preparations are complete...","With this, the preparations are complete...","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
어린애라고 무시해도. 일은 잘해주겠지?,he better do a good job despite being a young boy.,"Even if they underestimate me for being a kid, I should still get the job done.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
…공작이 네게 뭘 시킨 거야?,just what exactly did duke abel order you to do?,...What did the duke order you to do?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"으음, 구체적인 계획이나 용병들의 앞날은…","hmm... judging from their future prospects and specific plans,","Hmm, the specific plans or the future of the mercenaries...","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
나도 봐줄 생각 없는 데다 아벨의 제스처로 판단하면,"as well as considering that abel isn’t planning to show them mercy either,","I have no intention of showing them mercy either, and judging by Abel’s gesture...","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
뭔가 신체 일부가 잘리는 형벌이 될 가능성이 큰데….,then chances are they'll receive a punishment involving cutting off parts of their bodies...,There's a high chance that the punishment will involve cutting off some body part...,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
아…. 음….,oh... um...,Oh... um...,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
시그렌은 아직 열네 살이다.,siegren is only fourteen years old.,Siegren is only fourteen years old.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
아직은 말하지 말자….,I shouldn’t say anything yet...,I shouldn't say anything yet.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
…별거 아냐.,it’s nothing big.,It's nothing special.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
공명정대한 판단을 내리고 오라던데.,duke abel told me to give fair judgment.,i was told to give a fair judgment.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
어차피 안 따라올 거니까 적당히 둘러대자.,"anyway, he won’t follow along, so I guess I’ll just beat around the bush.","Anyway, he won't follow along, so I'll just make something up.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
어쨌든 같이는 안 갈 거지?,"so you’re not coming with me, right?","Anyway, you're not coming with me, right?","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
같이 갈래.,I’m gonna tag along.,Want to go together?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
응?!,huh?!,Huh?!,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
같이 간다고.,I said I’m tagging along.,I'm tagging along.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
내가 따라가면 안 되는 일인 거야?,or am I not allowed to join you?,Or am I not allowed to join you?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
그건…. 아니지만.,"w-well, it’s not that...",Well... not exactly.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
애들이 보기엔 쪼오끔 잔인할 수도 있어.,kids probably wouldn’t enjoy seeing it ‘cause it’s kinda brutal.,It might be a bit too brutal for kids to see.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
너 내가 전쟁터에서 구르다 온 놈이란 거 잊고 있지?,forget that I used to fight wars already?,Did you forget that I went through the hardships of war?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"…네가 보았던 흉터도 다 예전 거고, 최근에 당한 건 아냐.","your scars were also ones you got long ago, not recently.","The scars you saw were all from long ago, not recent.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
첫 만남이 그래서 못 미더울지도 모르겠지만….,although our first meeting wasn’t very impressive...,Our first meeting might have made me seem untrustworthy...,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
이래 봬도 실력이 나쁜 편은 아니거든.,I'm actually quite skilled.,I'm not exactly unskilled.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"응, 알아.","okay, fine.","Yeah, I know.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
근데 그건 같이 가는 거랑 별개의 일이잖아?,but that has nothing to do with whether I accompany you or not.,But that has nothing to do with going together.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
어차피 너랑은 상관없는 일 아냐?,"after all, it’s none of your business, right?","This has nothing to do with you anyway, does it?","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"피오나,","fiona,","fiona,","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
그 뜻이 아니라….,that’s not what I meant...,That's not what I meant...,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"…그러니까, 내가 하고 싶은 말은!","in other words, what I mean to say is...","So, what I'm trying to say is!","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
여차할 때 방패막이 정도는 해줄 수 있다는 뜻이야.,"...that when things get tough, I can act as your shield.","I mean, I can act as a shield in case of emergency.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
여기 있는 녀석들은 대부분 너한테 호의적이지 않으니까.,most people here aren’t favorable toward you.,Most people here aren’t favorable toward you.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
그리고 혼자보다는 둘이 낫고….,and two heads are better than one...,And having two is better than one.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
… 알아들었으면 빨리 가자.,"now that you understand, let’s hurry up and leave.","if you understand, let’s go.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
어? 어….,h-huh...?,Huh? Oh...,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
잘은 모르겠지만,"I’m not entirely sure,","I'm not entirely sure,","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
걱정해주는 걸까?,but maybe he’s worried about me.,Is he worried about me?,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
"뭐, 아니면 할 수 없지만.","well, if not, oh well.","Well, if not, there's nothing I can do.","전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
알았어.,"alrighty, then.",Alright.,"전쟁터에서 구르다 : go through the hardships of war
여차할 때 방패막이 : a shield in case of emergency"
