hangle,first_translate,review,idiom
즉시 퇴각해!,retreat immediately!,Retreat immediately!,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
"철수다, 철수!",it’s time to fall back!,Retreat! Retreat!,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
거기서 뭐 하는 거냐! 굼뜬 자식!,"what are you doing?! move your ass, kid!!","What are you doing there, you useless brat?!","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
"하, 쓸모가 없다면…","if he can’t do anything else,","Ha, if he's useless...","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
인간 방패라도 되라고!,at least make him into a human shield!,Be a human shield!,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
"살아야 한다,",siegren must live.,You must live.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
시그렌.,siegren has to stay alive.,Siegren.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
살아야 한다…,stay alive...,I must survive...,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
살기 위해 버텼다.,I endured everything just to survive.,I endured to survive.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
"하지만 아무리 실력이 늘었다고 한들,","but no matter how much better I became,","But no matter how much my skills improved,","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
역부족이었다.,my abilities were still lacking.,It was beyond my ability.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
드디어 죽는 건가.,is this really the end?,Is this finally the end?,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
어쩐지 안심되기까지 한다.,"for some reason, I feel relieved.","Somehow, I even feel relieved.","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
한가지 억울한 점이 있다면,the one thing that bothers me is...,"If there's one thing I regret, it's...","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
그딴 쓰레기 같은 놈을 대신해 죽는다는 거다.,...the fact that I’m dying instead of that piece of trash.,...the fact that I’m dying instead of that piece of trash.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
"기왕 누군가를 위해 죽는다면,","if I had to give my life for anyone,","If I were to die for someone anyway,","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
나와 비슷한 처지의 사람을 구하고 싶었는데…,I would rather save people like myself--,I wanted to save someone in the same situation as me...,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
"그래. 좀 더 도움이 필요한 사람,",that's right. I want to lend a hand...,Yeah. Someone who needs help even more...,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
약한 사람에게 손길을 내밀고 싶었어.,...to weaker people who desperately need help more than others.,I wanted to reach out to weak people.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
왜냐면 내가 고독했을 때는 누구도 도움을 주지 않았으니까.,no one helped me when I needed it most.,Because no one helped me when I was lonely.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
그러니 적어도 나는 도움을 주고 싶었어.,"and because of that, I wish to offer aid whenever possible.","So at the very least, I wanted to help.","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
누군가 나처럼 살지 않기를 바라는 건 나약해.,hoping that nobody will go through what I went through makes me weak.,Wishing that no one lives like I did is weak of me.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
그런 생각이나 하니 결국 이렇게 죽는 거야.,this kind of thinking is why I ended up here today.,Thinking like this is why I'm dying like this.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
그래도 내 소망이 헛된 게 아니라고 믿고 싶어.,but I’d like to believe that my wishes weren’t futile.,But I want to believe that my wish wasn’t in vain.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
어딘가에 빛이 있을 거라고.,maybe there’ll come a day where hope shines bright again.,There must be light somewhere.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
아니면 내가 누군가의 빛이 되고 싶어.,"or maybe someday, I'll be able to shine light onto other people's lives as well.",I want to be someone's light.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
이제는 불가능한 일이지만.,"of course, now that won’t ever happen.","But now, it's impossible.","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
누군가 어둠 속에서 내 머리를 쓰다듬는다.,someone gently caresses my hair while I'm surrounded by darkness.,Someone strokes my hair in the darkness.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
눈물이 나올 정도로 다정한 손길로….,their touch feels warm enough to bring tears to my eyes...,"With a touch so gentle, it could bring me to tears...","벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
여긴… 어디지?,where am I...?,Where am I...?,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
어?,huh? wait...,Huh?,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
여자애…?,a girl...?,A girl...?,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
그건,"in that moment,",That was,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
지긋지긋했던 내 인생에서 가장 평화로운 광경이었다.,I saw the most peaceful sight of my entire miserable life.,It was the most peaceful sight of my miserable life.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
상처는 괜찮아?,doesn’t it hurt anymore?,Are your wounds okay?,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
괜찮은지 한번 보자.,let me see.,Let me see if you're okay.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
멋대로 건들지 말라니까.,stop touching me without permission.,I told you not to touch me as you please.,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
그래도…,but...!,Still...,"벌레만도 못한 목숨 : A worthless life
기어코 일은 터졌다 : Trouble finally broke out
인간 방패라도 되라고 : Be a human shield
살기 위해 버텼다 : Endured to survive
역부족이었다 : It was beyond my ability
어딘가에 빛이 있을 거라고 : There must be light somewhere
누군가의 빛이 되고 싶어 : I want to be someone's light
지긋지긋했던 내 인생 : My miserable life"
