hangle,first_translate,second_translate,label
잠깐 같이 놀까?,do you want to play with us?,Do you want to hang out for a bit?,you wanna have some fun?
"이, 이거 놔주세요!!",l-let go of me!!,l-let go of me!!,p-please let me go!!
"자자, 앙탈 부리지 말고.","now, now. don’t be so fussy.","Now, now. Don’t throw a tantrum.","now, now. don't make a fuss."
이봐.,hey.,hey.,hey.
"그 아가씨는 곱게 놔 드리고,",let go of the lady...,let go of the lady...,let go of her...
네 자리로 돌아가.,...and go back to your place.,...and go back to your place.,...and return to your positions.
영애…,my lady...,my lady...,lady fiona...
"푸,",pfft.,pfft.,pfft...
푸핫.,ahaha.,Pfft-haha.,pahaha.
저건 또 뭐야.,what’s this?,What is that this time?,what's this now?
생긴 건 제법 괜찮은데…,you’re quite handsome...,you’re quite handsome...,you’re quite the looker too...
"자, 너도 이쪽으로 와!",come here too!,"You too, come over here!","all right, you can join us!"
나와 유니스를 못 알아보는 모양이네.,he doesn’t seem to recognize eunice and me.,he doesn’t seem to recognize eunice and me.,it looks like they don't know who eunice and I are.
그러면 직접 누구인지 보여줄 수밖에.,then I’ll have to show him who we are.,Then I'll have to show them who I am.,"I guess I'll have to show them, then."
잠깐.,wait.,Wait.,hang on.
아가씨가 손을 더럽힐 필요는 없어.,"there’s no need for you to get your hands dirty, my lady.","There's no need for you to get your hands dirty, my lady.",we don't need you to dirty your hands.
용병왕…,the king of mercenaries...,the king of mercenaries...,"the king of mercenaries,"
권터,gunter,gunter,gunter...!
여기는 내가 해결하지.,I’ll take care of this.,I’ll take care of this.,I'll take it from here.
"아, 아하하.",a-ahaha.,a-ahaha.,ah... ahaha.
권터 씨네 사람인 줄은 미처 몰랐습니다.,"I didn’t know she was with you, sir gunter.",I didn’t realize you were with Gunter.,"we didn't know they were with you, gunter... sir."
아가씨는 놔드릴 테니 한 번 봐주시죠.,"I’ll let her go, so please forgive me.","I'll let the young lady go, so please overlook this just once.","we'll let the ladies go, so please leave us alone."
"자, 얼른 가!","now, go!","Come on, get going!","well, go on!"
얼른!,hurry!,hurry!,hurry!
그러면 숙녀분도 돌려드렸으니 저희는 이만…,"I returned the lady, so I’ll be going now...","I returned the lady, so I’ll be going now...","we’ve let them go now, so please--"
너희를 이대로 보내면 내가 공작한테 더러운 꼴을 당해서.,"if I let you go, I’ll have to deal with the duke.","If I let you go just like this, the duke will make me pay for it in the worst way.","well, the duke will give me hell if I just let you go."
"어이, 고용주님.","hey, employer.","hey, employer.","hey, boss."
"이놈들,",should I...,should I...,would you like me to...
가랑이에 달린걸 잘라 버릴까?,...cut off their balls?,...cut off their balls?,...cut the things dangling between their legs?
