hangle,first_translate,second_translate,label
영애의 힘으로 이 죽은 땅을 복구시킬 수 있을 것 같나요?,do you think you can restore this dead land with your powers?,Do you think the lady's power can restore this dead land?,do you think you could use your powers to revive the dead lands?
"일부는 가능할 것도 같지만,","I might be able to do some of it,",I might be able to do some of it...,"it would be possible to some extent,"
이렇게 넓은 범위의 죽은 땅은 저도 처음이라…,but I’ve never seen such a large area of dead land before...,...but I’ve never seen such a large area of dead land before.,but I've never seen such a vast area of dead lands before...
제 힘이 부족한 탓이에요.,it’s because I’m not strong enough.,It’s because I’m not strong enough.,it's my fault for not being strong enough.
영애…,my lady...,my lady...,lady eunice...
그렇지 않아요.,that’s not true.,You're not lacking.,that's not true.
"성녀님은 한 분이고, 죽은 땅은 여러 개인데…","there’s only one saint, but there are many dead lands...","there’s only one saint, but there are many dead lands...",this much dead land is impossible...
애초에 혼자 부담하시는 건 무리입니다.,it’s too much for you to handle alone.,It's unreasonable for you to take it all on yourself from the start.,...for one saint to take on.
"맞아요, 유니스 영애가 부족한 게 아니에요",that’s right. it’s not because you’re not strong enough.,"That's right, Lady Eunice isn't lacking in any way.","that’s right. it's not your fault, lady eunice."
조바심 내지 말고 차근차근해봐요.,don’t be anxious. take your time.,Don't rush. Try to take it step by step.,don't worry and try to take it one step at a time.
그래요. 저희도 뭐든 도울게요.,"yes, we’ll help you with whatever you need.",We’ll help with anything too.,"yes, we'll do whatever we can to help."
"어려운 부분이 있으면 혼자 앓지 말아요, 영애.","don’t keep it to yourself if you’re having a hard time, my lady.","Don't try to deal with the hard parts alone, my lady.","if you have any problems, please let us know, my lady."
여러분…,everyone...,everyone...,thank you...
다들 이렇게 응원해주시는데,"everyone is cheering me on,",...everyone is cheering me on...,"with everyone rooting for me,"
혼자 약한 소리를 할 수는 없어.,so I can’t be the only one feeling weak.,...so I can’t be the only one feeling weak.,I can’t call myself weak.
걱정끼쳐 죄송해요.,I’m sorry for worrying you.,I’m sorry for worrying you.,I'm sorry for making you worry.
저 힘낼게요…!,I’ll do my best...!,I’ll do my best...!,I'll try to stay strong...!
"와, 기세 좋은데요.","wow, she’s really determined.","Wow, you're really fired up.","wow, that's the spirit."
이러다가 너무 금방 끝내버리는 건 아닌지 몰라.,she might finish this in no time.,"If she keeps this up, she might finish everything way too quickly.","at this rate, I think we might get this over with sooner than later."
"그, 그건 아무래도…",w-well...,w-well...,"oh, I don't know about that..."
농담이에요.,I’m just kidding.,I’m just kidding.,I was kidding.
